code,code_digits,name_fr,name_ar,commune_code,population_2024,households_2024
01.511.01.05,015110105,Mghogha,مغوغة,01.511.01.0,252656,70679
01.511.01.06,015110106,Souani,السواني,01.511.01.0,111772,33489
01.511.01.03,015110103,Bni Makada,بني مكادة,01.511.01.0,567465,150816
01.511.01.07,015110107,Médina,المدينة,01.511.01.0,343535,107078
03.231.01.11,032310111,El Mariniyine,المرينيين,03.231.01.0,206427,54509
03.231.01.09,032310109,Jnan El Ouard,جنان الورد,03.231.01.0,187737,45619
03.231.01.01,032310101,Agdal,أكدال,03.231.01.0,128030,39373
03.231.01.07,032310107,Fès-Médina,فاس المدينة,03.231.01.0,49775,13730
03.231.01.13,032310113,Zouagha,زواغة,03.231.01.0,358631,89164
03.231.01.05,032310105,Saiss,سايس,03.231.01.0,237242,64927
04.421.01.09,044210109,Yacoub El Mansour,يعقوب المنصور,04.421.01.0,168391,47492
04.421.01.05,044210105,Hassan,حسان,04.421.01.0,92454,32327
04.421.01.03,044210103,El Youssoufia,اليوسفية,04.421.01.0,157587,45900
04.421.01.01,044210101,Agdal Riyad,أكدال الرياض,04.421.01.0,70435,24248
04.421.01.06,044210106,Souissi,السويسي,04.421.01.0,21049,6431
04.441.01.09,044410109,Tabriquet,تابريكت,04.441.01.0,237385,65252
04.441.01.03,044410103,Bab Lamrissa,باب لمريسة,04.441.01.0,167319,48307
04.441.01.05,044410105,Bettana,بطانة,04.441.01.0,76233,21404
04.441.01.07,044410107,Layayda,العيايدة,04.441.01.0,229838,57358
04.441.01.06,044410106,Hssaine,حصين,04.441.01.0,234326,63823
06.141.01.01,061410101,Anfa,أنفا,06.141.01.0,66202,22331
06.141.01.03,061410103,Maârif,المعاريف,06.141.01.0,139669,51113
06.141.01.07,061410107,Sidi Belyout,سيدي بليوط,06.141.01.0,138294,47055
06.141.01.11,061410111,Al-Fida,الفداء,06.141.01.0,125933,35993
06.141.01.13,061410113,Mers-Sultan,مرس السلطان,06.141.01.0,98139,30509
06.141.01.25,061410125,Hay-Mohammadi,الحي المحمدي,06.141.01.0,104232,28469
06.141.01.23,061410123,Asoukhour Assawda,الصخور السوداء,06.141.01.0,104775,32260
06.141.01.21,061410121,Aïn-Sebaâ,عين السبع,06.141.01.0,155828,40875
06.141.01.31,061410131,Hay-Hassani,الحي الحسني,06.141.01.0,537509,157634
06.141.01.41,061410141,Aïn-Chock,عين الشق,06.141.01.0,374707,102598
06.141.01.51,061410151,Sidi Bernoussi,سيدي البرنوصي,06.141.01.0,154919,42626
06.141.01.53,061410153,Sidi Moumen,سيدي مومن,06.141.01.0,551443,142020
06.141.01.61,061410161,Ben-M'sick,ابن مسيك,06.141.01.0,105612,29445
06.141.01.63,061410163,Sbata,سباتة,06.141.01.0,101640,26764
06.141.01.71,061410171,Moulay Rachid,مولاي رشيد,06.141.01.0,245139,63294
06.141.01.73,061410173,Sidi Othmane,سيدي عثمان,06.141.01.0,211894,56242
07.351.01.07,073510107,Marrakech-Médina,مراكش المدينة,07.351.01.0,81103,21660
07.351.01.09,073510109,Ménara,المنارة,07.351.01.0,522259,135189
07.351.01.05,073510105,Gueliz,جيليز,07.351.01.0,219863,68658
07.351.01.11,073510111,Sidi Youssef Ben Ali,سيدي يوسف بن علي,07.351.01.0,107966,25887
07.351.01.03,073510103,Annakhil,النخيل,07.351.01.0,71506,17531
