code,code_digits,name_fr,name_ar,region_code,province_code,population_2024,households_2024,communes
01.511.05,0151105,Tanger,طنجة,01,01.511,60807,14102,5
01.511.03,0151103,Assilah,أصيلة,01,01.511,33463,7896,4
01.571.03,0157103,Jebala,جبالة,01,01.571,66920,15852,10
01.571.05,0157105,Tétouan,تطوان,01,01.571,110561,24542,10
01.227.05,0122705,Fahs,الفحص,01,01.227,51470,12930,3
01.227.03,0122703,Anjra,أنجرة,01,01.227,49319,12230,4
01.331.07,0133107,Loukouss,اللوكوس,01,01.331,122597,26159,6
01.331.09,0133109,Moulay Abdeslem-Ben M'chich,مولاي عبد السلام-بن مشيش,01,01.331,39637,10039,5
01.331.11,0133111,Oued El Makhazine,وادي المخازن,01,01.331,89545,19438,6
01.051.03,0105103,Bni Boufrah,بني بوفراح,01,01.051,31426,7102,4
01.051.13,0105113,Bni Ouriaghel Charqia,بني ورياغل الشرقية,01,01.051,43365,10788,7
01.051.11,0105111,Bni Ouriaghel Gharbia,بني ورياغل الغربية,01,01.051,35304,8908,6
01.051.07,0105107,Targuist,تارجيست,01,01.051,41881,8956,7
01.051.09,0105109,Ketama,كتامة,01,01.051,94197,20174,7
01.151.03,0115103,Bab Berred,باب برد,01,01.151,68495,14827,3
01.151.09,0115109,Jebha,الجبهة,01,01.151,62127,13161,5
01.151.06,0115106,Bni Ahmed,بني احمد,01,01.151,47024,10921,4
01.151.05,0115105,Bab Taza,باب تازة,01,01.151,96263,20805,8
01.151.11,0115111,Assifane,اسيفان,01,01.151,38073,7112,2
01.151.07,0115107,Bou Ahmed,بواحمد,01,01.151,54563,11656,5
01.405.07,0140507,Ouezzane,وزان,01,01.405,52274,14680,4
01.405.13,0140513,Al Ouahda,الوحدة,01,01.405,73957,19590,6
01.405.09,0140509,Moqrissat,مقريصات,01,01.405,40037,10831,4
01.405.11,0140511,Zoumi,زومي,01,01.405,50572,13529,2
02.411.03,0241103,Oujda-Banlieue Nord,أحواز وجدة الشمالية,02,02.411,30051,7112,4
02.411.05,0241105,Oujda-Banlieue Sud,أحواز وجدة الجنوبية,02,02.411,24253,4635,4
02.381.05,0238105,Guelaia,قلعية,02,02.381,123904,30369,8
02.381.07,0238107,Louta,لوطا,02,02.381,81481,19778,8
02.167.13,0216713,Rif Sud,الريف الجنوبية,02,02.167,44529,11813,7
02.167.11,0216711,Rif Nord,الريف الشمالية,02,02.167,47550,12366,6
02.167.17,0216717,Driouch Sud,الدريوش الجنوبية,02,02.167,29186,7055,3
02.167.15,0216715,Driouch Nord,الدريوش الشمالية,02,02.167,20872,5595,4
02.275.09,0227509,Jerada-Banlieue Nord,أحواز جرادة الشمالية,02,02.275,13646,3240,4
02.275.07,0227507,Jerada-Banlieue Sud,أحواز جرادة الجنوبية,02,02.275,10612,2143,3
02.275.05,0227505,Ain Bni Mathar,عين بني مطهر,02,02.275,19701,3896,4
02.113.03,0211303,Ahfir,أحفير,02,02.113,51116,13236,4
02.113.05,0211305,Aklim,أكليم,02,02.113,64345,16444,6
02.533.09,0253309,Taourirt,تاوريرت,02,02.533,27255,5584,3
02.533.07,0253307,El Aioun,العيون,02,02.533,23422,5381,4
02.533.03,0253303,Debdou,دبدو,02,02.533,23979,4645,4
02.265.05,0226505,Guercif,جرسيف,02,02.265,89244,18595,5
02.265.07,0226507,Taddart,تادرت,02,02.265,45890,10358,4
02.251.03,0225103,Bni Tadjite,بني تدجيت,02,02.251,30945,7163,4
02.251.07,0225107,Talsint,تالسينت,02,02.251,42115,10739,3
02.251.05,0225105,Figuig,فجيج,02,02.251,30874,6645,4
03.231.81,0323181,Fès Banlieue,أحواز فاس,03,03.231,16857,3907,2
03.061.07,0306107,Zerhoun,زرهون,03,03.061,41921,10218,5
03.061.05,0306105,Meknès-Banlieue,أحواز مكناس,03,03.061,115860,26659,5
03.061.03,0306103,Ain Orma,عين عرمة,03,03.061,62572,13604,5
03.171.07,0317107,El Hajeb,الحاجب,03,03.171,22537,5260,3
03.171.05,0317105,Ain Taoujdate,عين تاوجطات,03,03.171,84002,20230,4
03.171.03,0317103,Agourai,أكوراي,03,03.171,38309,9612,5
03.271.03,0327103,Azrou,أزرو,03,03.271,65029,17061,6
03.591.03,0359103,Moulay Yacoub,مولاي يعقوب,03,03.591,44879,9421,3
03.591.05,0359105,Oulad Jemâa Lemta,أولاد جمعة-لمطة,03,03.591,75989,16156,6
03.451.07,0345107,Sefrou,صفرو,03,03.451,58868,14572,7
03.451.03,0345103,El Menzel,المنزل,03,03.451,46153,12570,9
03.451.05,0345105,Imouzzer-Kandar,إيموزار كندر,03,03.451,47285,11372,2
03.131.03,0313103,Boulemane,بولمان,03,03.131,40958,10585,3
03.131.09,0313109,Marmoucha,مرموشة,03,03.131,17538,4751,6
03.131.05,0313105,Missour,ميسور,03,03.131,25870,6067,3
03.131.07,0313107,Outat El Haj,أوطاط الحاج,03,03.131,60527,12109,5
03.531.05,0353105,Karia Ba Mohamed,قرية با محمد,03,03.531,122275,26518,9
03.531.03,0353103,Rhafsai,غفساي,03,03.531,140519,36802,12
03.531.07,0353107,Taounate,تاونات,03,03.531,122256,30866,11
03.531.09,0353109,Tissa,تيسة,03,03.531,143196,31592,12
03.561.03,0356103,Aknoul,أكنول,03,03.561,37805,9967,6
03.561.09,0356109,Tahla,تاهلة,03,03.561,47237,12384,6
03.561.11,0356111,Tainaste,تيناست,03,03.561,59243,14643,8
03.561.13,0356113,Taza,تازة,03,03.561,77341,18089,8
03.561.07,0356107,Ouad Amlil,واد امليل,03,03.561,84631,18842,6
04.501.05,0450105,Témara,تمارة,04,04.501,42096,9562,2
04.501.03,0450103,Ain El Aouda,عين العودة,04,04.501,128139,32624,3
04.281.03,0428103,Kénitra-Banlieue,أحواز القنيطرة,04,04.281,84435,16844,3
04.281.05,0428105,Ben Mansour,بنمنصور,04,04.281,156134,27806,4
04.281.07,0428107,Souk Arbaa El Gharb,سوق الأربعاء الغرب,04,04.281,81290,16846,4
04.281.09,0428109,Souk Tlet El Gharb,سوق ثلاثاء الغرب,04,04.281,137746,25915,4
04.281.11,0428111,Lalla Mimouna,للا ميمونة,04,04.281,111227,22856,4
04.291.03,0429103,Khémisset,الخميسات,04,04.291,92952,23364,9
04.291.05,0429105,Oulmes,اولماس,04,04.291,57963,17002,7
04.291.07,0429107,Rommani,الرماني,04,04.291,71766,17144,7
04.291.09,0429109,Tiflet,تيفلت,04,04.291,70407,17260,8
04.481.03,0448103,Tilal Al Gharb,تلال الغرب,04,04.481,71253,16186,6
04.481.07,0448107,Ouargha,ورغة,04,04.481,80968,18544,5
04.481.11,0448111,Baht,بهت,04,04.481,89205,17214,3
04.481.05,0448105,Gharb Bni Malek,الغرب بني مالك,04,04.481,73467,14765,3
04.481.09,0448109,Chrarda,الشراردة,04,04.481,74608,16088,7
04.491.05,0449105,Sidi Slimane,سيدي سليمان,04,04.491,136390,28950,6
04.491.03,0449103,Kceibya,القصيبية,04,04.491,79749,14768,3
05.091.03,0509103,Béni Mellal,بني ملال,05,05.091,121730,28541,6
05.091.07,0509107,El Ksiba,القصيبة,05,05.091,72899,18679,5
05.091.05,0509105,Aghbala,اغبالة,05,05.091,33872,8159,3
05.091.11,0509111,Kasba Tadla,قصبة تادلة,05,05.091,49008,11775,4
05.081.03,0508103,Azilal,أزيلال,05,05.081,101655,18035,7
05.081.05,0508105,Bzou,بزو,05,05.081,101021,23597,10
05.081.15,0508115,Oultana,ولتانة,05,05.081,91098,17878,6
05.081.13,0508113,Fetouaka,فطواكة,05,05.081,81082,15341,5
05.081.09,0508109,Ouaouizaght,واويزغت,05,05.081,65282,15334,10
05.081.11,0508111,Afourar,أفورار,05,05.081,52201,12379,4
05.255.05,0525505,Bni Moussa Charquia,بني موسى الشرقية,05,05.255,82106,18480,4
05.255.09,0525509,Fquih Ben Salah,الفقيه بن صالح,05,05.255,113633,26618,6
05.255.11,0525511,Bni Moussa Gharbia,بني موسى الغربية,05,05.255,98001,21484,3
05.301.03,0530103,El Kbab,القباب,05,05.301,73401,19844,7
05.301.05,0530105,Khénifra,خنيفرة,05,05.301,47286,12183,6
05.301.07,0530107,Aguelmous,أكلموس,05,05.301,79530,20703,7
05.311.03,0531103,Bejaad,أبي الجعد,05,05.311,32447,8034,8
05.311.05,0531105,Khouribga,خريبكة,05,05.311,70893,16924,8
05.311.07,0531107,Oued Zem,وادي زم,05,05.311,60440,13899,10
06.371.03,0637103,Zenata,زناتة,06,06.371,43227,10763,2
06.181.03,0618103,Azemmour,أزمور,06,06.181,123315,26895,4
06.181.07,0618107,Haouzia,حوزية,06,06.181,69157,14585,2
06.181.05,0618105,El Jadida,الجديدة,06,06.181,230246,53141,6
06.181.09,0618109,Sidi Smail,سيدي اسماعيل,06,06.181,181840,40585,12
06.111.03,0611103,Benslimane,بنسليمان,06,06.111,82974,19142,8
06.111.05,0611105,Bouznika,بوزنيقة,06,06.111,44365,9663,4
06.117.05,0611705,Berrechid,برشيد,06,06.117,62205,13481,6
06.117.09,0611709,Sahel-Trifiya,الساحل-الطريفية,06,06.117,89061,21881,2
06.117.08,0611708,El Gara,الكارة,06,06.117,83531,19029,8
06.461.11,0646111,Ben Ahmed Chamalia,بن احمد الشمالية,06,06.461,78431,16754,8
06.461.13,0646113,Ben Ahmed Janoubia,بن احمد الجنوبية,06,06.461,93729,19642,8
06.461.07,0646107,El Borouj,البروج,06,06.461,89223,18189,11
06.461.15,0646115,Settat Chamalia,سطات الشمالية,06,06.461,74339,16142,7
06.461.17,0646117,Settat Janoubia,سطات الجنوبية,06,06.461,78308,16417,7
06.467.07,0646707,Sidi Bennour,سيدي بنور,06,06.467,106714,22997,6
06.467.03,0646703,Bni Hilal-Laaounate,بني هلال-لعونات,06,06.467,77416,17820,7
06.467.05,0646705,Oulad Amrane,أولاد عمران,06,06.467,64970,14289,5
06.467.11,0646711,Zemamra,زمامرة,06,06.467,110894,24518,4
07.351.05,0735105,Loudaya,الاوداية,07,07.351,91265,20786,4
07.351.07,0735107,Saada,سعادة,07,07.351,124409,29065,2
07.351.03,0735103,Bour,البور,07,07.351,133823,30487,3
07.351.02,0735102,Al Ouidane,الويدان,07,07.351,101257,23613,3
07.161.03,0716103,Chichaoua,شيشاوة,07,07.161,101751,24003,8
07.161.05,0716105,Imintanoute,امنتانوت,07,07.161,55988,13871,9
07.161.09,0716109,Mtouga,امتوكة,07,07.161,52166,13954,8
07.161.07,0716107,Majjat,مجاط,07,07.161,105673,24940,8
07.041.03,0704103,Ait Ourir,آيت أورير,07,07.041,175598,40168,7
