code,code_digits,slug,name_fr,name_ar,type,region_code,province_code,cercle_code,population_2024,households_2024,population_2014,change_pct,area_km2,density_2024
01.511.01.0,001511010,tanger,Tanger,طنجة,urban,01,01.511,,1275428,362062,947952,34.55,149.41,8536.51
01.511.01.01,015110101,assilah,Assilah,أصيلة,urban,01,01.511,,36039,9745,31147,15.71,33.23,1084.65
01.511.01.09,015110109,gueznaia,Gueznaia,اكزناية,urban,01,01.511,,88676,25039,23601,275.73,70.28,1261.84
01.511.05.19,015110519,hjar-ennhal,Hjar Ennhal,حجر النحل,rural,01,01.511,01.511.05,27204,6048,9792,177.82,103.3,263.34
01.511.05.07,015110507,dar-chaoui,Dar Chaoui,دار الشاوي,rural,01,01.511,01.511.05,4471,1078,4303,3.9,96.1,46.53
01.511.05.01,015110501,al-manzla,Al Manzla,المنزلة,rural,01,01.511,01.511.05,2680,629,2650,1.13,90.31,29.68
01.511.05.17,015110517,laaouama,Laaouama,العوامة,rural,01,01.511,01.511.05,19187,4618,8013,139.45,61.22,313.41
01.511.05.05,015110505,sebt-azzinate,Sebt Azzinate,سبت الزينات,rural,01,01.511,01.511.05,7265,1729,5153,40.99,61.89,117.38
01.511.03.03,015110303,aquouass-briech,Aquouass Briech,اقواس برييش,rural,01,01.511,01.511.03,4981,1190,4993,-0.24,66.92,74.44
01.511.03.15,015110315,had-al-gharbia,Had Al Gharbia,حد الغربية,rural,01,01.511,01.511.03,12838,3084,12274,4.6,132.43,96.94
01.511.03.11,015110311,sahel-chamali,Sahel Chamali,الساحل الشمالي,rural,01,01.511,01.511.03,5028,1235,5358,-6.16,84.6,59.43
01.511.03.13,015110313,sidi-lyamani,Sidi Lyamani,سيدي اليمني,rural,01,01.511,01.511.03,10616,2387,10365,2.42,76.82,138.19
01.573.01.05,015730105,m-diq,M'diq,المضيق,urban,01,01.573,,67599,17498,56227,20.23,66.05,1023.38
