code,code_digits,name_fr,name_ar,type,region_code,population_2024,households_2024,cercles,communes
01.511,01511,Tanger-Assilah,طنجة-أصيلة,prefecture,01,1494413,418844,2,12
01.573,01573,M'diq-Fnideq,المضيق-الفنيدق,prefecture,01,254064,67797,0,5
01.571,01571,Tétouan,تطوان,province,01,611928,157384,2,22
01.227,01227,Fahs-Anjra,الفحص-أنجرة,province,01,100789,25160,2,7
01.331,01331,Larache,العرائش,province,01,510211,124642,3,19
01.051,01051,Al Hoceima,الحسيمة,province,01,371527,89181,5,36
01.151,01151,Chefchaouen,شفشاون,province,01,412713,90956,6,28
01.405,01405,Ouezzane,وزان,province,01,274577,74896,4,17
02.411,02411,Oujda-Angad,وجدة-أنجاد,prefecture,02,572454,148929,2,11
02.381,02381,Nador,الناضور,province,02,565987,146090,2,23
02.167,02167,Driouch,الدريوش,province,02,188191,48849,4,23
02.275,02275,Jerada,جرادة,province,02,103527,23833,3,14
02.113,02113,Berkane,بركان,province,02,284061,75643,2,16
02.533,02533,Taourirt,تاوريرت,province,02,220157,50028,3,14
02.265,02265,Guercif,جرسيف,province,02,215837,47538,2,10
02.251,02251,Figuig,فجيج,province,02,144451,34105,3,13
03.231,03231,Fès,فاس,prefecture,03,1256172,329286,1,5
03.061,03061,Meknès,مكناس,prefecture,03,942945,248296,3,21
03.171,03171,El Hajeb,الحاجب,province,03,267156,66258,3,16
03.271,03271,Ifrane,إفران,province,03,160904,42684,1,10
03.591,03591,Moulay Yacoub,مولاي يعقوب,province,03,216954,46348,2,11
03.451,03451,Sefrou,صفرو,province,03,304748,81262,3,23
03.131,03131,Boulemane,بولمان,province,03,205411,48509,4,21
03.531,03531,Taounate,تاونات,province,03,612650,147051,4,49
03.561,03561,Taza,تازة,province,03,500971,126023,5,38
04.421,04421,Rabat,الرباط,prefecture,04,515619,157183,0,2
04.441,04441,Salé,سلا,prefecture,04,1089554,290311,0,4
04.501,04501,Skhirate-Témara,الصخيرات-تمارة,prefecture,04,783475,208316,2,10
04.281,04281,Kénitra,القنيطرة,province,04,1284247,300046,5,23
04.291,04291,Khémisset,الخميسات,province,04,563036,146516,4,35
04.481,04481,Sidi Kacem,سيدي قاسم,province,04,545509,122538,5,29
04.491,04491,Sidi Slimane,سيدي سليمان,province,04,351199,76582,2,11
05.091,05091,Béni Mellal,بني ملال,province,05,580327,150397,4,22
05.081,05081,Azilal,أزيلال,province,05,574112,121842,6,44
05.255,05255,Fquih Ben Salah,الفقيه بن صالح,province,05,475977,111668,3,16
05.301,05301,Khénifra,خنيفرة,province,05,370240,100159,3,22
05.311,05311,Khouribga,خريبكة,province,05,525145,132500,3,31
06.141,06141,Casablanca,الدار البيضاء,prefecture,06,3218036,909829,0,2
06.141.01.00,061410100,Casablanca-Anfa,الدار البيضاء-أنفا,prefecture_of_arrondissements,06,344165,120499,0,0
06.141.01.10,061410110,Al-Fida-Mers-Sultan,الفداء-مرس السلطان,prefecture_of_arrondissements,06,224072,66502,0,0
06.141.01.20,061410120,Aïn-Sebaâ-Hay Mohammadi,عين السبع-الحي المحمدي,prefecture_of_arrondissements,06,364835,101604,0,0
06.141.01.30,061410130,Hay-Hassani,الحي الحسني,prefecture_of_arrondissements,06,537509,157634,0,0
06.141.01.40,061410140,Aïn-Chock,عين الشق,prefecture_of_arrondissements,06,374707,102598,0,0
06.141.01.50,061410150,Sidi Bernoussi,سيدي البرنوصي,prefecture_of_arrondissements,06,706362,184646,0,0
06.141.01.60,061410160,Ben M'sick,ابن مسيك,prefecture_of_arrondissements,06,207252,56209,0,0
06.141.01.70,061410170,Moulay Rachid,مولاي رشيد,prefecture_of_arrondissements,06,457033,119536,0,0
06.371,06371,Mohammadia,المحمدية,prefecture,06,514057,137265,1,6
06.181,06181,El Jadida,الجديدة,province,06,914367,221678,4,27
06.385,06385,Nouaceur,النواصر,province,06,672324,183539,0,5
06.355,06355,Médiouna,مديونة,province,06,345787,88190,0,5
06.111,06111,Benslimane,بنسليمان,province,06,279517,69353,2,15
06.117,06117,Berrechid,برشيد,province,06,640657,160957,3,22
06.461,06461,Settat,سطات,province,06,652292,148224,5,46
06.467,06467,Sidi Bennour,سيدي بنور,province,06,451930,101997,4,25
07.351,07351,Marrakech,مراكش,prefecture,07,1571580,402389,4,15
07.161,07161,Chichaoua,شيشاوة,province,07,379079,92262,4,35
07.041,07041,Al Haouz,الحوز,province,07,642815,147971,5,40
07.191,07191,El Kelâa Des-Sraghna,قلعة السراغنة,province,07,560273,125161,5,43
07.211,07211,Essaouira,الصويرة,province,07,426719,111602,4,57
07.427,07427,Rehamna,الرحامنة,province,07,346108,76166,2,25
07.431,07431,Safi,آسفي,province,07,719671,175259,3,25
07.585,07585,Youssoufia,اليوسفية,province,07,246148,55055,2,11
08.201,08201,Errachidia,الرشيدية,province,08,427572,90107,5,29
08.401,08401,Ouarzazate,ورزازات,province,08,304932,66420,2,17
08.363,08363,Midelt,ميدلت,province,08,313769,73708,5,29
08.577,08577,Tinghir,تنغير,province,08,323805,62123,5,25
08.587,08587,Zagora,زاكورة,province,08,285545,46619,4,25
09.001,09001,Agadir-Ida-Ou-Tanane,أكادير-إدا وتنان,prefecture,09,721431,197248,2,13
09.273,09273,Inezgane-Aït Melloul,إنزكان-آيت ملول,prefecture,09,636916,161551,1,6
09.163,09163,Chtouka-Aït Baha,اشتوكة-آيت باها,province,09,493623,133727,3,22
09.541,09541,Taroudannt,تارودانت,province,09,858162,209341,6,89
09.581,09581,Tiznit,تيزنيت,province,09,198542,57811,3,25
09.551,09551,Tata,طاطا,province,09,111757,25530,3,20
10.261,10261,Guelmim,كلميم,province,10,196267,47250,3,20
10.071,10071,Assa-Zag,آسا-الزاك,province,10,53298,6297,2,7
10.521,10521,Tan-Tan,طانطان,province,10,94519,23308,2,7
10.473,10473,Sidi Ifni,سيدي إفني,province,10,104601,28539,2,19
11.321,11321,Laâyoune,العيون,province,11,295555,73866,1,5
11.121,11121,Boujdour,بوجدور,province,11,65381,14429,1,4
11.537,11537,Tarfaya,طرفاية,province,11,16228,4328,2,5
11.221,11221,Es-Semara,السمارة,province,11,73864,14128,1,6
12.391,12391,Oued Ed-Dahab,وادي الذهب,province,12,195467,51740,2,7
12.066,12066,Aousserd,أوسرد,province,12,24498,2421,2,6
