code,code_digits,name_fr,name_ar,population_2024,households_2024,provinces,communes
01,01,Tanger-Tétouan-Al Hoceima,طنجة-تطوان-الحسيمة,4030222,1048860,8,146
02,02,Oriental,الشرق,2294665,575015,8,124
03,03,Fès-Meknès,فاس-مكناس,4467911,1135717,9,194
04,04,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,5132639,1301492,7,114
05,05,Béni Mellal-Khénifra,بني ملال-خنيفرة,2525801,616566,5,135
06,06,Casablanca-Settat,الدار البيضاء-سطات,7688967,2021032,9,153
07,07,Marrakech-Safi,مراكش-آسفي,4892393,1185865,8,251
08,08,Drâa-Tafilalet,درعة-تافيلالت,1655623,338977,5,125
09,09,Souss-Massa,سوس-ماسة,3020431,785208,6,175
10,10,Guelmim-Oued Noun,كلميم-واد نون,448685,105394,4,53
11,11,Laâyoune-Sakia El Hamra,العيون-الساقية الحمراء,451028,106751,4,20
12,12,Dakhla-Oued Ed-Dahab,الداخلة-وادي الذهب,219965,54161,2,13
