code_2024,code_2014,name_2024,name_2014,name_ar_2024,name_ar_2014,method,normalised_name_match,candidates_in_province,population_2024,population_2014,population_ratio
01.051.11.01,01.051.05.01,Ait Kamra,Ait Kamra,آيت قمرة,أيت قمرة,exact_name_in_province,true,3,8269,7685,1.076
01.051.11.07,01.051.05.07,Bni Abdellah,Bni Abdallah,بني عبد الله,بني عبد الله,sole_remaining_in_province,false,1,4939,5983,0.8255
01.051.11.09,01.051.05.09,Bni Hadifa,Bni Hadifa,بني حذيفة,بني حذيفة,exact_name_in_province,true,5,4723,5594,0.8443
01.051.11.15,01.051.05.15,Izemmouren,Izemmouren,ازمورن,ازمورن,exact_name_in_province,true,4,6365,5153,1.2352
01.051.11.21,01.051.05.21,Rouadi,Rouadi,ارواضي,رواضي,exact_name_in_province,true,2,6858,7131,0.9617
01.051.11.25,01.051.05.25,Zaouiat Sidi Abdelkader,Zaouiat Sidi Abdelkader,زاوية سيدي عبد القادر,زاوية سيدي عبد القادر,exact_name_in_province,true,6,4150,5452,0.7612
01.051.13.03,01.051.05.03,Ait Youssef Ou Ali,Ait Youssef Ou Ali,آيت يوسف وعلي,أيت يوسف وعلي,exact_name_in_province,true,9,13830,12673,1.0913
01.051.13.05,01.051.05.05,Arbaa Taourirt,Arbaa Taourirt,اربعاء تاوريرت,اربعاء تاوريرت,exact_name_in_province,true,12,3799,5187,0.7324
01.051.13.11,01.051.05.11,Chakrane,Chakrane,شقران,شكران,exact_name_in_province,true,13,3306,4761,0.6944
01.051.13.13,01.051.05.13,Imrabten,Imrabten,امرابطن,امرابطن,exact_name_in_province,true,7,6983,8715,0.8013
01.051.13.17,01.051.05.17,Louta,Louta,لوطا,لوطا,exact_name_in_province,true,8,4408,4428,0.9955
01.051.13.19,01.051.05.19,Nekkour,Nekkour,النكور,نقور,exact_name_in_province,true,10,7721,8963,0.8614
01.051.13.23,01.051.05.23,Tifarouine,Tifarouine,تيفروين,تيفروين,exact_name_in_province,true,11,3318,4231,0.7842
01.151.11.03,01.151.07.03,Bni Mansour,Bni Mansour,بني منصور,بني منصور,exact_name_in_province,true,1,16660,20811,0.8005
01.151.11.05,01.151.07.05,Bni Selmane,Bni Selmane,بني سلمان,بني سلمان,exact_name_in_province,true,2,21413,24217,0.8842
01.405.13.03,01.405.07.03,Lamjaara,Lamjaara,لمجاعرة,لمجاعرة,exact_name_in_province,true,4,19162,18820,1.0182
01.405.13.09,01.405.07.09,Ouannana,Ounnana,ونانة,أونانة,sole_remaining_in_province,false,1,12123,12801,0.947
01.405.13.11,01.405.07.11,Sidi Ahmed Cherif,Sidi Ahmed Cherif,سيدي أحمد الشريف,سيدي أحمد الشريف,exact_name_in_province,true,3,7913,9576,0.8263
01.405.13.13,01.405.07.13,Sidi Bousber,Sidi Bousber,سيدي بوصبر,سيدي بوصبر,exact_name_in_province,true,2,9671,10528,0.9186
01.405.13.17,01.405.07.17,Teroual,Teroual,تروال,تروال,exact_name_in_province,true,6,11673,12621,0.9249
01.405.13.19,01.405.07.19,Zghira,Zghira,ازغيرة,ازغيرة,exact_name_in_province,true,5,13415,15503,0.8653
01.511.05.01,01.511.03.01,Al Manzla,Al Manzla,المنزلة,المنزلة,exact_name_in_province,true,3,2680,2650,1.0113
01.511.05.05,01.511.03.05,Sebt Azzinate,Sebt Azzinate,سبت الزينات,سبت الزينات,exact_name_in_province,true,1,7265,5153,1.4099
01.511.05.07,01.511.03.07,Dar Chaoui,Dar Chaoui,دار الشاوي,دار الشاوي,exact_name_in_province,true,4,4471,4303,1.039
01.511.05.17,01.511.03.17,Laaouama,Laaouama,العوامة,العوامة,exact_name_in_province,true,2,19187,8013,2.3945
01.511.05.19,01.511.81.05,Hjar Ennhal,HJAR ENNHAL,حجر النحل,حجر النحل,exact_name_in_province,true,5,27204,9792,2.7782
01.573.01.07,01.573.03.03,Allyene,Allyene,عليين,عليين,exact_name_in_province,true,2,8111,6583,1.2321
01.573.01.09,01.573.03.05,Belyounech,Belyounech,بليونش,بليونش,exact_name_in_province,true,1,5208,5296,0.9834
02.167.11.05,02.167.09.05,Bni Marghnine,Bni Marghnine,بني مرغنين,بني مرغنين,exact_name_in_province,true,10,4950,6263,0.7904
02.167.11.07,02.167.09.07,Boudinar,Boudinar,بودينار,بودينار,exact_name_in_province,true,11,7996,9863,0.8107
02.167.11.11,02.167.09.11,Ijermaouas,Ijermaouas,اجرمواس,اجرماواس,exact_name_in_province,true,13,5303,7540,0.7033
02.167.11.19,02.167.09.19,Oulad Amghar,Oulad Amghar,أولاد أمغار,اولاد امغار,exact_name_in_province,true,9,5755,6010,0.9576
02.167.11.25,02.167.09.25,Temsamane,Temsamane,تمسمان,تمسمان,exact_name_in_province,true,12,12198,13920,0.8763
02.167.11.27,02.167.09.27,Trougout,Trougout,اتروكوت,اتروكوت,exact_name_in_province,true,8,11348,11458,0.9904
02.167.13.01,02.167.09.01,Azlaf,Azlaf,ازلاف,ازلاف,exact_name_in_province,true,16,4132,4919,0.84
02.167.13.09,02.167.09.09,Iferni,Iferni,افرني,افرني,exact_name_in_province,true,17,4873,6365,0.7656
02.167.13.15,02.167.09.15,M'hajer,M'Hajer,امهاجر,امهاجر,exact_name_in_province,true,18,8008,9386,0.8532
02.167.13.17,02.167.09.17,Ouardana,Ouardana,وردانة,وردانة,exact_name_in_province,true,19,7032,7120,0.9876
02.167.13.21,02.167.09.21,Tafersit,Tafersit,تفرسيت,تفرسيت,exact_name_in_province,true,14,8202,9133,0.8981
02.167.13.23,02.167.09.23,Talilit,Talilit,تليليت,تليليت,exact_name_in_province,true,20,3881,5208,0.7452
02.167.13.29,02.167.09.29,Tsaft,Tsaft,اتسافت,اتصافت,exact_name_in_province,true,15,8401,9578,0.8771
02.167.15.03,02.167.03.03,Ait Mait,Ait Mait,آيت مايت,أيت مايت,exact_name_in_province,true,3,4721,5613,0.8411
02.167.15.05,02.167.03.05,Amejjaou,Amejjaou,امجاو,امجاو,exact_name_in_province,true,1,4177,4988,0.8374
02.167.15.07,02.167.03.07,Dar El Kebdani,Dar El Kebdani,دار الكبداني,دار الكبداني,exact_name_in_province,true,4,8518,9911,0.8594
02.167.15.13,02.167.03.13,Tazaghine,Tazaghine,تزاغين,تزاغين,exact_name_in_province,true,2,3456,4323,0.7994
02.167.17.01,02.167.03.01,Ain Zohra,Ain Zohra,عين الزهرة,عين الزهرة,exact_name_in_province,true,6,8705,10601,0.8211
02.167.17.09,02.167.03.09,Mtalssa,Mtalssa,امطالسة,امطالسة,exact_name_in_province,true,7,16778,16787,0.9995
02.167.17.11,02.167.03.11,Oulad Boubker,Oulad Boubker,أولاد بوبكر,أولاد بوبكر,exact_name_in_province,true,5,3703,8054,0.4598
02.251.07.07,02.251.03.07,Bouchaouene,Bouchaouene,بوشاون,بوشاوون,exact_name_in_province,true,1,15242,13057,1.1673
02.251.07.09,02.251.03.09,Boumerieme,Boumerieme,بومريم,بو مريم,exact_name_in_province,true,3,8067,8521,0.9467
02.251.07.11,02.251.03.11,Talsint,Talsint,تالسينت,تالسينت,exact_name_in_province,true,2,18806,16166,1.1633
02.275.07.03,02.275.03.03,Gafait,Gafait,كفايت,كفايت,exact_name_in_province,true,2,2604,2656,0.9804
02.275.07.07,02.275.03.07,Laaouinate,Laaouinate,لعوينات,لعوينات,exact_name_in_province,true,3,5467,3867,1.4138
02.275.07.09,02.275.03.09,Lebkhata,Lebkhata,لبخاتة,لبخاتة,exact_name_in_province,true,1,2541,2612,0.9728
02.275.09.05,02.275.03.05,Guenfouda,Guenfouda,كنفودة,كنفودة,exact_name_in_province,true,7,5712,5591,1.0216
02.275.09.13,02.275.03.13,Ras Asfour,Ras Asfour,راس عصفور,رأس عصفور,exact_name_in_province,true,6,1275,1274,1.0008
02.275.09.15,02.275.03.15,Sidi Boubker,Sidi Boubker,سيدي بوبكر,سيدي بوبكر,exact_name_in_province,true,5,2354,2638,0.8923
02.275.09.21,02.275.03.21,Tiouli,Tiouli,تيولي,تيولي,exact_name_in_province,true,4,4305,5199,0.828
03.131.09.01,03.131.03.01,Ait Bazza,Ait Bazza,آيت بازة,أيت بازة,exact_name_in_province,true,6,2397,2955,0.8112
03.131.09.03,03.131.03.03,Ait El Mane,Ait El Mane,آيت المان,أيت المان,exact_name_in_province,true,3,1694,1927,0.8791
