code,code_digits,level,name_fr,establishments_total,establishments_public_services,establishments_non_profit,establishments_weekly_souks,establishments_business,establishments_jobs,sector_industry,sector_construction,sector_commerce,sector_services,size_1,size_2_3,size_4_9,size_10_49,size_50_plus,founded_before_1956,founded_1956_1980,founded_1981_1990,founded_1991_2000,founded_2001_2010,founded_2011_2019,founded_2020_plus
,,country,Maroc,1304564,147062,27481,1022,1130021,3585475,154979,39522,587177,348343,637834,371110,90677,24961,5439,7446,32106,34954,84809,191285,416003,363418
01,01,region,Tanger-Tétouan-Al Hoceima,145036,17293,3090,101,124653,501547,16618,4242,63208,40585,66164,44759,10114,2696,920,505,3171,2875,7978,19854,48719,41551
01.051,01051,province,Al Hoceima,11727,2606,163,25,8958,16908,840,416,4741,2961,5266,3052,554,78,8,38,370,409,774,1797,3472,2098
01.051.01.01,010510101,commune,Al Hoceima,3044,196,78,1,2770,5840,275,87,1438,970,1446,1032,256,33,3,26,151,182,257,575,1050,529
01.051.01.03,010510103,commune,Bni Bouayach,790,56,11,1,723,1310,76,60,377,210,419,251,47,6,0,0,12,20,35,89,328,239
01.051.01.05,010510105,commune,Imzouren,1975,75,32,2,1868,3413,205,128,998,537,1020,734,97,17,0,2,62,56,98,300,837,513
01.051.01.07,010510107,commune,Targuist,1031,55,10,1,966,1557,87,41,538,300,584,344,34,4,0,3,52,50,111,210,309,231
01.051.01.09,010510109,commune,Ajdir,187,37,5,0,145,439,10,16,56,63,97,34,10,2,2,0,7,0,7,23,76,32
01.051.03,0105103,cercle,Bni Boufrah,646,403,6,3,237,378,21,2,108,106,185,41,9,2,0,3,13,28,52,46,64,31
01.051.03.01,010510301,commune,Bni Boufrah,187,89,4,1,94,181,12,2,41,39,67,20,6,1,0,1,5,11,25,13,30,9
01.051.03.03,010510303,commune,Bni Gmil,174,107,2,1,65,74,5,0,31,29,58,7,0,0,0,2,4,10,16,15,11,7
01.051.03.05,010510305,commune,Bni Gmil Maksouline,112,90,0,0,22,24,1,0,13,8,20,2,0,0,0,0,1,3,4,8,5,1
01.051.03.07,010510307,commune,Senada,173,117,0,1,56,99,3,0,23,30,40,12,3,1,0,0,3,4,7,10,18,14
01.051.07,0105107,cercle,Targuist,575,346,4,0,225,259,15,4,123,83,201,22,2,0,0,0,0,0,6,124,95,0
01.051.07.03,010510703,commune,Bni Ahmed Imoukzan,87,54,0,0,33,36,1,0,17,15,30,3,0,0,0,0,0,0,1,23,9,0
01.051.07.05,010510705,commune,Bni Ammart,127,59,1,0,67,75,6,3,34,24,60,7,0,0,0,0,0,0,0,49,18,0
01.051.07.07,010510707,commune,Bni Bchir,71,42,0,0,29,31,3,0,17,9,27,2,0,0,0,0,0,0,2,10,17,0
01.051.07.11,010510711,commune,Bni Bounsar,105,46,1,0,58,62,4,1,24,29,54,4,0,0,0,0,0,0,1,35,22,0
01.051.07.19,010510719,commune,Sidi Boutmim,90,61,1,0,28,42,1,0,24,3,22,4,2,0,0,0,0,0,2,3,23,0
01.051.07.21,010510721,commune,Sidi Bouzineb,31,28,0,0,3,3,0,0,1,2,3,0,0,0,0,0,0,0,0,3,0,0
01.051.07.27,010510727,commune,Zarkt,64,56,1,0,7,10,0,0,6,1,5,2,0,0,0,0,0,0,0,1,6,0
01.051.09,0105109,cercle,Ketama,1756,682,6,9,1068,1725,73,35,620,340,676,342,47,3,0,2,25,21,97,221,421,281
01.051.09.01,010510901,commune,Abdelghaya Souahel,374,173,1,1,200,274,11,2,109,78,160,36,3,1,0,0,4,1,21,46,87,41
01.051.09.09,010510909,commune,Bni Bouchibet,116,78,1,2,37,68,1,0,21,15,22,12,3,0,0,0,1,4,3,5,12,12
01.051.09.13,010510913,commune,Issaguen,607,107,1,1,499,897,38,21,307,133,267,199,31,2,0,1,14,7,36,107,191,143
01.051.09.15,010510915,commune,Ketama,319,114,1,1,204,326,16,12,112,64,124,71,9,0,0,1,0,3,14,38,89,59
01.051.09.17,010510917,commune,Moulay Ahmed Cherif,115,78,1,1,36,49,3,0,22,11,27,8,1,0,0,0,1,0,2,7,11,15
01.051.09.23,010510923,commune,Taghzout,78,44,0,1,34,45,0,0,23,11,25,9,0,0,0,0,3,5,7,6,12,1
01.051.09.25,010510925,commune,Tamsaout,147,88,1,2,58,66,4,0,26,28,51,7,0,0,0,0,2,1,14,12,19,10
01.051.11,0105111,cercle,Bni Ouriaghel Gharbia,854,321,5,5,528,1141,39,29,272,188,368,124,27,7,2,2,30,26,63,114,156,137
01.051.11.01,010511101,commune,Ait Kamra,204,64,1,1,139,467,15,10,69,45,94,32,7,4,2,1,2,6,8,16,63,43
01.051.11.07,010511107,commune,Bni Abdellah,103,71,0,1,32,37,4,0,14,14,27,5,0,0,0,1,7,4,9,7,2,2
01.051.11.09,010511109,commune,Bni Hadifa,188,32,2,1,154,255,13,7,84,50,103,44,6,1,0,0,9,7,19,38,48,33
01.051.11.15,010511115,commune,Izemmouren,136,46,2,1,88,218,6,8,47,27,59,19,8,2,0,0,8,5,8,16,34,17
01.051.11.21,010511121,commune,Rouadi,159,64,0,1,95,144,1,4,51,39,65,24,6,0,0,0,4,4,19,19,7,42
01.051.11.25,010511125,commune,Zaouiat Sidi Abdelkader,64,44,0,0,20,20,0,0,7,13,20,0,0,0,0,0,0,0,0,18,2,0
01.051.13,0105113,cercle,Bni Ouriaghel Charqia,869,435,6,3,428,846,39,14,211,164,270,128,25,4,1,0,18,26,48,95,136,105
01.051.13.03,010511303,commune,Ait Youssef Ou Ali,270,74,5,0,191,515,18,10,93,70,93,74,20,3,1,0,4,7,16,25,77,62
01.051.13.05,010511305,commune,Arbaa Taourirt,106,65,0,1,41,44,0,0,21,20,38,3,0,0,0,0,5,5,3,3,9,16
01.051.13.11,010511311,commune,Chakrane,83,75,0,1,8,9,0,0,4,4,7,1,0,0,0,0,2,1,1,3,1,0
01.051.13.13,010511313,commune,Imrabten,166,68,1,1,97,136,12,1,48,36,65,31,1,0,0,0,4,4,11,36,27,15
01.051.13.17,010511317,commune,Louta,63,49,0,0,14,27,2,0,7,5,10,2,2,0,0,0,2,1,1,3,7,0
01.051.13.19,010511319,commune,Nekkour,106,42,0,0,64,102,7,3,28,26,44,17,2,1,0,0,1,8,12,21,11,11
01.051.13.23,010511323,commune,Tifarouine,75,62,0,0,13,13,0,0,10,3,13,0,0,0,0,0,0,0,4,4,4,1
01.151,01151,province,Chefchaouen,10584,4080,256,27,6248,11109,486,136,3567,2059,3970,1879,340,56,3,39,158,135,585,1333,2498,1500
01.151.01.01,011510101,commune,Chefchaouen,2331,163,43,3,2125,4542,199,52,1085,789,998,900,199,27,1,38,89,58,234,521,758,427
01.151.03,0115103,cercle,Bab Berred,1434,603,37,4,794,1187,53,17,478,246,511,260,21,2,0,0,7,9,66,124,415,173
01.151.03.03,011510303,commune,Bab Berred,784,215,23,1,546,918,43,14,325,164,283,240,21,2,0,0,7,6,50,62,313,108
01.151.03.13,011510313,commune,Iounane,288,198,7,1,83,88,3,0,53,27,78,5,0,0,0,0,0,0,10,23,35,15
01.151.03.23,011510323,commune,Tamorot,362,190,7,2,165,181,7,3,100,55,150,15,0,0,0,0,0,3,6,39,67,50
01.151.05,0115105,cercle,Bab Taza,2329,1002,118,7,1209,2215,96,28,711,374,858,262,69,19,1,1,21,19,107,216,483,362
01.151.05.01,011510501,commune,Bab Taza,790,223,61,1,506,995,36,12,321,137,305,161,31,9,0,0,5,3,36,81,219,162
01.151.05.03,011510503,commune,Bni Darkoul,296,140,6,1,150,238,14,1,84,51,124,18,6,2,0,0,1,0,25,34,52,38
01.151.05.05,011510505,commune,Bni Faghloum,206,108,19,1,79,127,5,3,38,33,71,3,4,1,0,0,0,1,10,8,31,29
01.151.05.07,011510507,commune,Bni Salah,201,103,2,0,96,128,9,6,58,23,78,16,1,1,0,0,0,1,4,16,39,36
01.151.05.09,011510509,commune,Derdara,261,103,4,1,154,364,13,2,81,58,88,41,20,5,0,0,11,8,22,42,45,26
01.151.05.11,011510511,commune,Fifi,181,94,21,1,66,149,7,0,36,23,62,1,1,1,1,1,3,1,3,11,28,19
01.151.05.13,011510513,commune,Laghdir,171,83,1,1,87,126,7,4,55,21,70,12,5,0,0,0,1,2,5,13,38,28
01.151.05.15,011510515,commune,Tanaqoub,223,148,4,1,71,88,5,0,38,28,60,10,1,0,0,0,0,3,2,11,31,24
01.151.06,0115106,cercle,Bni Ahmed,1142,518,16,3,608,812,40,9,391,168,494,100,12,2,0,0,10,11,35,163,274,115
01.151.06.05,011510605,commune,Bni Ahmed Cherqia,396,120,7,1,269,384,19,6,182,62,199,64,5,1,0,0,4,5,6,100,106,48
01.151.06.07,011510607,commune,Bni Ahmed Gharbia,231,140,8,0,83,108,3,0,52,28,74,4,5,0,0,0,4,3,12,15,38,11
01.151.06.15,011510615,commune,Mansoura,260,138,0,1,122,149,9,2,72,39,105,15,2,0,0,0,1,2,6,30,62,21
01.151.06.21,011510621,commune,Oued Malha,255,120,1,1,134,171,9,1,85,39,116,17,0,1,0,0,1,1,11,18,68,35
01.151.07,0115107,cercle,Bou Ahmed,1167,591,16,2,560,897,38,15,304,203,363,175,18,4,0,0,10,14,47,94,216,179
01.151.07.01,011510701,commune,Bni Bouzra,341,152,8,1,181,261,9,5,117,50,106,74,1,0,0,0,0,1,7,29,67,77
01.151.07.07,011510707,commune,Steha,261,133,6,1,122,184,12,4,68,38,79,40,2,1,0,0,2,1,18,20,51,30
01.151.07.09,011510709,commune,Talambote,191,119,1,0,71,141,1,0,29,41,55,9,6,1,0,0,5,2,6,16,31,11
01.151.07.11,011510711,commune,Tassift,97,72,0,0,25,37,2,0,14,9,19,4,2,0,0,0,1,4,4,3,10,3
01.151.07.13,011510713,commune,Tizgane,277,115,1,0,161,274,14,6,76,65,104,48,7,2,0,0,2,6,12,26,57,58
01.151.09,0115109,cercle,Jebha,1445,743,23,5,679,1121,46,14,421,198,502,159,16,1,1,0,18,16,65,156,239,185
01.151.09.01,011510901,commune,Amtar,218,123,2,1,93,128,8,2,59,24,63,29,1,0,0,0,0,1,5,21,38,28
01.151.09.09,011510909,commune,Bni Rzine,419,142,8,1,269,329,22,8,171,68,230,36,3,0,0,0,1,3,22,61,83,99
01.151.09.11,011510911,commune,Bni Smih,264,161,7,1,96,298,5,2,70,19,87,6,1,1,1,0,0,3,13,22,32,26
01.151.09.17,011510917,commune,M'tioua,348,173,6,1,169,297,9,2,88,70,82,77,10,0,0,0,17,5,12,35,74,26
01.151.09.19,011510919,commune,Ouaouzgane,196,144,0,1,52,69,2,0,33,17,40,11,1,0,0,0,0,4,13,17,12,6
01.151.11,0115111,cercle,Assifane,736,460,3,3,273,335,14,1,177,81,244,23,5,1,0,0,3,8,31,59,113,59
01.151.11.03,011511103,commune,Bni Mansour,305,214,0,1,91,101,5,0,60,26,82,9,0,0,0,0,0,5,8,26,35,17
01.151.11.05,011511105,commune,Bni Selmane,431,246,3,2,182,234,9,1,117,55,162,14,5,1,0,0,3,3,23,33,78,42
01.227,01227,province,Fahs-Anjra,2639,789,125,5,1725,41507,305,49,790,581,1136,273,142,103,71,4,50,42,68,193,534,834
01.227.03,0122703,cercle,Anjra,1514,534,65,2,915,26006,175,18,378,344,527,143,109,72,64,4,40,30,36,121,319,365
01.227.03.05,012270305,commune,Anjra,486,202,17,1,267,531,59,6,145,57,194,60,7,5,1,0,35,14,11,19,91,97
01.227.03.11,012270311,commune,Jouamaa,328,104,8,0,216,21498,86,5,78,47,98,22,23,28,45,0,0,1,9,16,97,93
01.227.03.13,012270313,commune,Ksar El Majaz,446,98,24,0,324,3589,15,4,95,210,140,56,78,34,16,4,5,14,11,74,102,114
01.227.03.21,012270321,commune,Taghramt,254,130,16,1,108,388,15,3,60,30,95,5,1,5,2,0,0,1,5,12,29,61
01.227.05,0122705,cercle,Fahs,1125,255,60,3,810,15501,130,31,412,237,609,130,33,31,7,0,10,12,32,72,215,469
01.227.05.01,012270501,commune,Al Bahraoyine,281,48,20,1,213,1312,51,7,110,45,167,27,8,9,2,0,1,4,3,5,50,150
01.227.05.05,012270505,commune,Ksar Sghir,432,92,19,1,321,610,41,11,159,110,230,67,15,9,0,0,6,6,16,39,88,166
01.227.05.09,012270509,commune,Malloussa,412,115,21,1,276,13579,38,13,143,82,212,36,10,13,5,0,3,2,13,28,77,153
