code_a,name_a,code_b,name_b,km
01.051.01.01,Al Hoceima,01.051.01.09,Ajdir,2.49
01.051.01.01,Al Hoceima,01.051.11.15,Izemmouren,5.63
01.051.01.03,Bni Bouayach,01.051.01.05,Imzouren,4.48
01.051.01.03,Bni Bouayach,01.051.13.17,Louta,4.75
01.051.01.03,Bni Bouayach,01.051.13.19,Nekkour,5.52
01.051.01.03,Bni Bouayach,01.051.13.23,Tifarouine,4.49
01.051.01.03,Bni Bouayach,02.167.11.11,Ijermaouas,4.9
01.051.01.03,Bni Bouayach,02.167.11.27,Trougout,2.75
01.051.01.05,Imzouren,01.051.13.03,Ait Youssef Ou Ali,10.39
01.051.01.05,Imzouren,01.051.13.17,Louta,3.22
01.051.01.05,Imzouren,02.167.11.27,Trougout,2.93
01.051.01.07,Targuist,01.051.07.19,Sidi Boutmim,2.33
01.051.01.07,Targuist,01.051.07.27,Zarkt,8.08
01.051.01.09,Ajdir,01.051.11.01,Ait Kamra,5.28
01.051.01.09,Ajdir,01.051.11.15,Izemmouren,0.83
01.051.01.09,Ajdir,01.051.13.03,Ait Youssef Ou Ali,7.22
01.051.03.01,Bni Boufrah,01.051.03.03,Bni Gmil,23.83
01.051.03.01,Bni Boufrah,01.051.03.07,Senada,22.84
01.051.03.01,Bni Boufrah,01.051.07.19,Sidi Boutmim,10.52
01.051.03.03,Bni Gmil,01.051.03.05,Bni Gmil Maksouline,26.46
01.051.03.03,Bni Gmil,01.051.07.19,Sidi Boutmim,1.56
01.051.03.03,Bni Gmil,01.051.07.27,Zarkt,5.79
01.051.03.03,Bni Gmil,01.151.09.17,M'tioua,10.83
01.051.03.03,Bni Gmil,01.151.09.19,Ouaouzgane,2.21
01.051.03.05,Bni Gmil Maksouline,01.051.07.27,Zarkt,0.46
01.051.03.05,Bni Gmil Maksouline,01.051.09.17,Moulay Ahmed Cherif,18.73
01.051.03.05,Bni Gmil Maksouline,01.151.09.19,Ouaouzgane,9.33
01.051.03.07,Senada,01.051.07.19,Sidi Boutmim,3.46
01.051.03.07,Senada,01.051.11.07,Bni Abdellah,6.44
01.051.03.07,Senada,01.051.11.09,Bni Hadifa,17.17
01.051.03.07,Senada,01.051.11.21,Rouadi,28.41
01.051.07.03,Bni Ahmed Imoukzan,01.051.07.07,Bni Bchir,10.86
01.051.07.03,Bni Ahmed Imoukzan,01.051.07.11,Bni Bounsar,12.44
01.051.07.03,Bni Ahmed Imoukzan,01.051.09.09,Bni Bouchibet,12.14
01.051.07.03,Bni Ahmed Imoukzan,01.051.09.23,Taghzout,8.82
01.051.07.03,Bni Ahmed Imoukzan,03.531.07.11,Fennassa Bab El Hit,6.47
01.051.07.05,Bni Ammart,01.051.07.07,Bni Bchir,6.48
01.051.07.05,Bni Ammart,01.051.07.19,Sidi Boutmim,10.8
01.051.07.05,Bni Ammart,01.051.07.21,Sidi Bouzineb,18.39
01.051.07.05,Bni Ammart,01.051.11.25,Zaouiat Sidi Abdelkader,6.56
01.051.07.05,Bni Ammart,03.531.07.19,Tamedit,20.5
01.051.07.05,Bni Ammart,03.561.03.03,Bourd,3
01.051.07.07,Bni Bchir,01.051.07.11,Bni Bounsar,6.04
01.051.07.07,Bni Bchir,01.051.07.19,Sidi Boutmim,2.05
01.051.07.07,Bni Bchir,01.051.07.27,Zarkt,5.58
01.051.07.07,Bni Bchir,03.531.07.05,Bni Ounjel Tafraout,6
01.051.07.07,Bni Bchir,03.531.07.11,Fennassa Bab El Hit,1.18
01.051.07.07,Bni Bchir,03.531.07.19,Tamedit,15.74
01.051.07.11,Bni Bounsar,01.051.07.27,Zarkt,12.34
01.051.07.11,Bni Bounsar,01.051.09.01,Abdelghaya Souahel,3.61
01.051.07.11,Bni Bounsar,01.051.09.13,Issaguen,4.22
01.051.07.11,Bni Bounsar,01.051.09.17,Moulay Ahmed Cherif,18.99
01.051.07.11,Bni Bounsar,01.051.09.23,Taghzout,2.23
01.051.07.19,Sidi Boutmim,01.051.07.27,Zarkt,20.24
01.051.07.19,Sidi Boutmim,01.051.11.09,Bni Hadifa,14.34
01.051.07.19,Sidi Boutmim,01.051.11.25,Zaouiat Sidi Abdelkader,9.32
01.051.07.21,Sidi Bouzineb,01.051.11.25,Zaouiat Sidi Abdelkader,11.49
01.051.07.21,Sidi Bouzineb,01.051.13.11,Chakrane,5.86
01.051.07.21,Sidi Bouzineb,03.561.03.03,Bourd,12.97
01.051.07.27,Zarkt,01.051.09.17,Moulay Ahmed Cherif,4.72
01.051.09.01,Abdelghaya Souahel,01.051.09.13,Issaguen,8.94
01.051.09.01,Abdelghaya Souahel,01.051.09.15,Ketama,12.8
01.051.09.01,Abdelghaya Souahel,01.051.09.23,Taghzout,14.94
01.051.09.01,Abdelghaya Souahel,01.051.09.25,Tamsaout,18.36
01.051.09.01,Abdelghaya Souahel,03.531.03.07,Oudka,3.5
01.051.09.01,Abdelghaya Souahel,03.531.03.11,Ratba,3
01.051.09.01,Abdelghaya Souahel,03.531.03.15,Sidi Mokhfi,2.78
01.051.09.01,Abdelghaya Souahel,03.531.03.23,Timezgana,9.36
01.051.09.01,Abdelghaya Souahel,03.531.07.13,Khlalfa,5.67
01.051.09.09,Bni Bouchibet,01.051.09.23,Taghzout,11.73
01.051.09.09,Bni Bouchibet,03.531.07.09,Bouhouda,16.65
