code,code_digits,level,name_fr,dwellings_total,occupancy_occupied,occupancy_vacant,occupancy_seasonal,occupancy_unoccupied,type_villa,type_apartment,type_traditional,type_modern,type_sound,type_slum,type_rural_type,type_other,type_precarious,age_under_20,age_20_49,age_50_plus,age_by_type_villa_under_20,age_by_type_villa_20_to_49,age_by_type_villa_50_plus,age_by_type_apartment_under_20,age_by_type_apartment_20_to_49,age_by_type_apartment_50_plus,age_by_type_traditional_under_20,age_by_type_traditional_20_to_49,age_by_type_traditional_50_plus,age_by_type_modern_under_20,age_by_type_modern_20_to_49,age_by_type_modern_50_plus,age_by_type_sound_under_20,age_by_type_sound_20_to_49,age_by_type_sound_50_plus,age_by_type_slum_under_20,age_by_type_slum_20_to_49,age_by_type_slum_50_plus,age_by_type_rural_type_under_20,age_by_type_rural_type_20_to_49,age_by_type_rural_type_50_plus,age_by_type_other_under_20,age_by_type_other_20_to_49,age_by_type_other_50_plus,age_by_type_precarious_under_20,age_by_type_precarious_20_to_49,age_by_type_precarious_50_plus,walls_concrete_or_brick,walls_stone,walls_other,roofs_slab,roofs_wood_or_tiles,roofs_sheet_metal,roofs_other,networks_electricity,networks_water,networks_sewerage,dwellings_deficit_rate
,,country,Maroc,8336782,71.1,13.4,15.5,28.9,3.2,31.7,2.5,59.2,96.6,2.2,0.6,0.6,3.4,59.8,33.9,6.2,60.3,34.2,5.5,77.5,20,2.5,22,40.7,37.4,53.5,40.2,6.3,60.8,33.4,5.8,28.5,53,18.5,30.7,46.1,23.2,46.2,40.7,13.1,32,49.6,18.4,98.2,1.2,0.6,96.7,1.6,0.8,0.9,96.3,95.2,92.6,4.9
01,01,region,Tanger-Tétouan-Al Hoceima,1109294,63.6,12.7,23.7,36.4,1.6,35.8,1.8,59.3,98.6,0.7,0.3,0.4,1.4,66.3,29.5,4.2,68.5,28.3,3.2,81.6,16.5,2,23.9,25.8,50.4,59,37.1,3.9,66.7,29.3,4.1,34.1,49.9,16,33.8,48.7,17.5,54.6,35,10.4,40.1,45.3,14.6,99.2,0.5,0.3,98.4,0.9,0.2,0.5,96,94.6,95.7,2.2
01.511,01511,province,Tanger-Assilah,554635,68.6,13.2,18.2,31.4,1.8,38.5,0.6,58,99,0.5,0.1,0.5,1,67.4,29,3.7,67.5,28.2,4.3,82.5,15.6,1.8,43.6,26.7,29.7,57.8,37.8,4.4,67.5,28.9,3.6,54.2,33.2,12.5,40.4,33.7,25.9,59.7,33.3,7,55.7,33.3,11,99.7,0.2,0.1,98.9,0.9,0.1,0.2,96,95.3,97.3,1.7
01.511.01.0,001511010,commune,Tanger,485227,71.4,11.9,16.7,28.6,1.9,36.6,0.6,60.1,99.1,0.3,0.1,0.5,0.9,64.4,31.8,3.8,65.8,29.8,4.4,79.3,18.5,2.2,42,26.5,31.5,55.7,40,4.4,64.5,31.8,3.7,67.6,20.4,11.9,47.7,38.5,13.8,56.3,36.5,7.2,59.6,31.1,9.3,99.8,0.1,0.1,99,0.9,0,0.1,97.1,96.7,97.9,1.4
01.511.01.05,015110105,arrondissement,Mghogha,94716,71.1,12.7,16.2,28.9,2.5,27.2,0.4,69.3,99.3,0.2,0.1,0.4,0.7,64.9,34.3,0.8,63.1,33.1,3.8,92.3,7.4,0.2,63.7,36.3,0,54.3,44.8,0.9,65,34.2,0.8,54.2,41.7,4.2,49.7,44.9,5.4,62.7,36.3,1,58.8,38.8,2.4,99.8,0.1,0.1,98.9,0.9,0,0.2,96.9,96,97.3,1.2
01.511.01.06,015110106,arrondissement,Souani,46012,70.4,11.9,17.7,29.6,1.5,31.7,0.5,65.7,99.4,0.1,0,0.5,0.6,34.8,56.3,9,31.1,67.1,1.7,65,31.5,3.5,24.7,61.7,13.6,20.5,67.8,11.7,34.8,56.2,9,37.5,37.5,25,42.8,48.6,8.7,21.2,73,5.8,24.8,66.9,8.3,99.9,0,0,98.8,1.1,0,0,96.6,96.6,98.1,1.1
01.511.01.03,015110103,arrondissement,Bni Makada,184748,78.6,10.5,10.8,21.4,0.3,23.6,0.4,74.6,98.9,0.4,0,0.6,1.1,67.9,31.8,0.3,72.6,27.3,0.2,82.6,17.4,0,66.8,31.6,1.6,63.2,36.4,0.4,67.8,31.8,0.3,91,9,0,58,42,0,65.8,34.2,0,75,25,0,99.9,0,0.1,99,0.9,0,0.1,97.5,97.3,98.2,1.5
01.511.01.07,015110107,arrondissement,Médina,159751,63.6,12.9,23.4,36.4,3.5,58.6,1,36.2,99.2,0.3,0.1,0.4,0.8,68.7,23.3,8,70.5,24,5.5,76.4,20.1,3.5,27.2,16.6,56.2,57.7,28.4,13.9,68.9,23.2,7.9,36.8,28.4,34.7,40.1,30.7,29.2,48.6,27.4,23.9,43.5,28.1,28.4,99.5,0.3,0.1,99,0.9,0,0.1,97,96.5,97.9,1.5
01.511.01.01,015110101,commune,Assilah,19413,49.1,10.3,40.6,50.9,1.1,32.4,1.4,58.7,93.7,5.9,0.1,0.3,6.3,62.9,28.2,8.9,48.9,43.5,7.6,92.1,7.5,0.4,19.4,47.2,33.4,50.9,36.6,12.5,64.6,26.8,8.6,36,50,14,17.5,65,17.5,65.1,25.1,9.8,37.2,48.9,13.8,98.5,0.5,1,96.5,0.6,1.3,1.6,90.2,86.5,93.8,12.3
01.511.01.09,015110109,commune,Gueznaia,49079,48.4,27.8,23.9,51.6,1.5,60.2,0.6,37.1,99.4,0.2,0,0.4,0.6,98.2,1.5,0.3,93.6,5.2,1.2,100,0,0,83.3,9.1,7.6,95.9,3.5,0.5,98.3,1.5,0.3,76.9,23.1,0,100,0,0,96.5,0,3.5,91.9,5.7,2.4,99.8,0.2,0,99.4,0.5,0,0.1,87.4,85.2,93.8,1.3
