code,code_digits,level,name_fr,area,households_municipal_population,households_count,households_average_size,dwelling_type_villa,dwelling_type_apartment,dwelling_type_moroccan_house,dwelling_type_basic_or_slum,dwelling_type_rural,dwelling_type_other,households_people_per_room,occupancy_owner,occupancy_tenant,occupancy_other,dwelling_age_under_10,dwelling_age_10_19,dwelling_age_20_49,dwelling_age_50_plus,amenities_kitchen,amenities_toilet,amenities_bathroom,amenities_electricity,amenities_running_water,wastewater_public_sewer,wastewater_septic_tank,wastewater_other,household_waste_municipal_bin,household_waste_truck,household_waste_other_or_open,cooking_fuel_gas,cooking_fuel_electricity,cooking_fuel_charcoal,cooking_fuel_firewood,cooking_fuel_animal_waste,equipment_television,equipment_radio,equipment_mobile_phone,equipment_landline,equipment_internet,equipment_computer,equipment_satellite_dish,equipment_refrigerator,households_distance_to_paved_road_km
,,country,Maroc,total,33610084,7313806,4.6,3.2,11.6,56.8,4.5,22.8,1,1.4,71.9,18.8,9.2,20.1,22.2,37.4,20.3,93.5,93.7,54,91.6,73,58.9,23.2,17.9,46.1,19.3,34.6,96.9,4.8,1.5,10.2,4.3,92.5,52.6,94.3,13.5,19.3,25.4,84,85.1,3
,,country,Maroc,urban,20284436,4807743,4.2,4.5,17.5,70.4,5.2,1.3,1,1.3,62.7,27.6,9.6,20.7,23.6,40.8,14.9,94.9,99,58.3,95.2,91.3,88.2,9.6,2.2,68.3,26.6,5.1,99.6,6.5,1.1,1.4,0.8,96.1,55.4,96.5,19.7,27.5,35.7,90.4,91.4,
,,country,Maroc,rural,13325648,2506063,5.3,0.8,0.3,30.7,3.1,64.1,1,1.6,89.6,1.9,8.5,19,19.3,30.9,30.7,90.8,83.4,45.9,84.6,37.8,2.9,49.2,47.9,3.4,5.3,91.3,91.7,1.7,2.3,27.1,11.2,85.7,47.3,90.3,1.5,3.6,5.7,71.8,73,3
01,01,region,Tanger-Tétouan-Al Hoceima,total,3540012,799124,4.4,2.2,10,65.7,1.8,19.4,0.9,1.4,68.6,21.2,10.2,22,24.1,36.9,17,94.6,95,49.9,93.5,63.9,62.5,20.4,17.1,58.1,6.6,35.3,99,5.7,1.2,7.1,1.1,92.1,41.2,93.1,10.8,17.2,20.6,86,84.4,4.3
01,01,region,Tanger-Tétouan-Al Hoceima,urban,2120666,525168,4,2.9,15.2,77.9,2.3,0.7,1,1.3,56.7,31.5,11.9,22.3,24.1,39.9,13.6,96.7,98.9,57.5,95.6,90.3,94,5,1.1,86.7,9.3,4,99.6,7.5,0.8,0.9,0.6,95,45.1,95.9,16.1,24.7,29.4,90.6,89.8,
01,01,region,Tanger-Tétouan-Al Hoceima,rural,1419346,273956,5.2,0.7,0.2,42.1,1,55.3,0.6,1.6,91.4,1.7,7,21.2,24.1,31,23.7,90.6,87.4,35.3,89.5,13.3,2.1,50,47.9,3.3,1.5,95.2,98,2.3,2.2,19,2.2,86.4,33.7,87.8,0.8,2.7,3.7,77.1,74.2,4.3
01.511,01511,province,Tanger-Assilah,total,1060261,266738,4,3.3,16.5,74.8,1.4,2.8,1.1,1.4,53.4,34.6,12,24.7,24.3,38.5,12.4,96.1,98.6,53.2,95.4,87.2,92.3,5.4,2.2,86.7,5.9,7.4,99.5,7.4,0.9,1.4,0.7,94.5,48.8,96.2,15.8,24.7,29,89.5,88.4,1.3
01.511,01511,province,Tanger-Assilah,urban,1000644,253831,3.9,3.4,17.4,76.4,1.4,0.2,1.1,1.4,51.4,36.3,12.3,24.8,24.7,39,11.5,96.3,98.9,54.8,95.7,90.9,97,2.5,0.5,91.1,6.2,2.7,99.5,7.7,0.8,0.6,0.6,95,49.2,96.6,16.5,25.7,30.3,90.5,89,
01.511,01511,province,Tanger-Assilah,rural,59617,12907,4.6,1.2,0,44,0.9,53.2,0.8,1.6,91.1,1.4,7.5,21.3,18.3,29.9,30.6,93.7,92.8,21.8,89.6,14.7,0.7,63,36.3,1.1,0.1,98.8,99.6,1.8,1.9,15.9,3.5,86.4,40.8,88.2,1.3,3.7,4.4,68.5,76,1.3
01.511.01.05,015110105,arrondissement,Mghogha,total,200810,50619,4,3.9,7.3,86.9,0.8,0.2,0.8,1.4,47.7,40.2,12.1,18.1,26.3,50.8,4.8,95.1,99.3,48.2,96.9,94.3,97.4,2.3,0.3,90.1,7.6,2.3,99.7,6.4,0.6,0.5,0.5,95.1,42.2,96.7,12.9,23,28.1,90.1,88.1,
01.511.01.05,015110105,arrondissement,Mghogha,urban,200810,50619,4,3.9,7.3,86.9,0.8,0.2,0.8,1.4,47.7,40.2,12.1,18.1,26.3,50.8,4.8,95.1,99.3,48.2,96.9,94.3,97.4,2.3,0.3,90.1,7.6,2.3,99.7,6.4,0.6,0.5,0.5,95.1,42.2,96.7,12.9,23,28.1,90.1,88.1,
01.511.01.06,015110106,arrondissement,Souani,total,117440,30760,3.8,3.3,17.4,78.5,0.2,0.1,0.5,1.2,49.8,38,12.3,7.6,16.1,51.4,24.9,98.9,98.6,75.1,98.5,98.4,99.8,0.1,0.1,89.7,10.2,0.1,99.7,12.2,1.3,0.6,0.6,97.8,53.5,97.1,29.7,38.6,43.9,95.1,96,
01.511.01.06,015110106,arrondissement,Souani,urban,117440,30760,3.8,3.3,17.4,78.5,0.2,0.1,0.5,1.2,49.8,38,12.3,7.6,16.1,51.4,24.9,98.9,98.6,75.1,98.5,98.4,99.8,0.1,0.1,89.7,10.2,0.1,99.7,12.2,1.3,0.6,0.6,97.8,53.5,97.1,29.7,38.6,43.9,95.1,96,
01.511.01.03,015110103,arrondissement,Bni Makada,total,385922,91737,4.2,1.7,10.1,87,0.5,0,0.7,1.5,51.3,33.9,14.8,27.1,29.8,42.5,0.6,96.3,98.8,43.8,94.9,91.9,99.1,0.8,0.1,93.3,4.9,1.8,99.7,6.2,0.4,0.5,0.5,94.2,47.7,96.7,8.4,17.4,21.2,89,87.1,
01.511.01.03,015110103,arrondissement,Bni Makada,urban,385922,91737,4.2,1.7,10.1,87,0.5,0,0.7,1.5,51.3,33.9,14.8,27.1,29.8,42.5,0.6,96.3,98.8,43.8,94.9,91.9,99.1,0.8,0.1,93.3,4.9,1.8,99.7,6.2,0.4,0.5,0.5,94.2,47.7,96.7,8.4,17.4,21.2,89,87.1,
01.511.01.07,015110107,arrondissement,Médina,total,239645,66127,3.6,5.4,35.6,55.2,1.5,0.3,2,1.2,51.6,39.6,8.8,32.4,20.8,21.3,25.5,96.4,99,65.7,96.5,90.4,97.7,1.7,0.6,95.3,1.5,3.2,99,9.4,1.2,0.8,0.6,95.2,54.5,97,25.5,35,39.6,91.7,89.6,
01.511.01.07,015110107,arrondissement,Médina,urban,239645,66127,3.6,5.4,35.6,55.2,1.5,0.3,2,1.2,51.6,39.6,8.8,32.4,20.8,21.3,25.5,96.4,99,65.7,96.5,90.4,97.7,1.7,0.6,95.3,1.5,3.2,99,9.4,1.2,0.8,0.6,95.2,54.5,97,25.5,35,39.6,91.7,89.6,
01.511.01.01,015110101,commune,Assilah,total,31014,7947,3.9,4.8,4.9,72.6,16.5,0.6,0.6,1.3,70.8,17.8,11.4,18.7,23.7,38.5,19.2,96.8,98.4,55.7,82.1,68.6,92.1,4.4,3.6,53.6,35.4,11,99.5,3.2,0.5,0.9,0.5,94.2,44.4,91.7,17.9,20.1,24.4,89.6,88.8,
01.511.01.01,015110101,commune,Assilah,urban,31014,7947,3.9,4.8,4.9,72.6,16.5,0.6,0.6,1.3,70.8,17.8,11.4,18.7,23.7,38.5,19.2,96.8,98.4,55.7,82.1,68.6,92.1,4.4,3.6,53.6,35.4,11,99.5,3.2,0.5,0.9,0.5,94.2,44.4,91.7,17.9,20.1,24.4,89.6,88.8,
01.511.01.09,015110109,commune,Gueznaia,total,23475,6100,3.8,4.2,30.7,54.7,5.6,1.5,3.3,1.3,64,21,15,60.9,20.2,16.1,2.8,89.9,95.9,54.1,92.5,44.4,50.7,43.4,5.9,82.5,3.7,13.8,99.4,6,2.2,1.8,1,90.2,58.9,95.5,5.6,17.9,22.9,82.9,82.4,
01.511.01.09,015110109,commune,Gueznaia,urban,23475,6100,3.8,4.2,30.7,54.7,5.6,1.5,3.3,1.3,64,21,15,60.9,20.2,16.1,2.8,89.9,95.9,54.1,92.5,44.4,50.7,43.4,5.9,82.5,3.7,13.8,99.4,6,2.2,1.8,1,90.2,58.9,95.5,5.6,17.9,22.9,82.9,82.4,
01.511.05.19,015110519,commune,Hjar Ennhal,total,9792,2210,4.4,1.9,0,81.9,0.9,14.7,0.6,1.5,90.4,3.2,6.4,32.7,29.5,27.2,10.5,97,97.9,30.2,87.3,9.3,1,82,17,0.4,0,99.5,99.5,3.3,0.5,2.4,0.4,89.7,36.1,93.5,1.6,7.1,7.5,74.4,85,1
01.511.05.19,015110519,commune,Hjar Ennhal,rural,9792,2210,4.4,1.9,0,81.9,0.9,14.7,0.6,1.5,90.4,3.2,6.4,32.7,29.5,27.2,10.5,97,97.9,30.2,87.3,9.3,1,82,17,0.4,0,99.5,99.5,3.3,0.5,2.4,0.4,89.7,36.1,93.5,1.6,7.1,7.5,74.4,85,1
01.511.05.07,015110507,commune,Dar Chaoui,total,4303,910,4.7,0.3,0,27.8,0.2,71.2,0.4,1.8,92.3,2.8,4.9,11.2,9.7,24,55.2,87.3,91.3,7.9,91.2,29.7,12,78.5,9.6,5.5,0.5,94,99.1,0.3,3.1,6.5,0.5,82.3,28.8,82.1,0.8,2.9,3.3,63.2,63.3,1.8
01.511.05.07,015110507,commune,Dar Chaoui,urban,1283,308,4.2,1,0,76.3,0,21.4,1.3,1.2,80.8,8.4,10.8,17.5,15.9,36,30.5,97.1,98.7,19.5,97.4,87.7,33.4,64.3,2.3,16.2,1.3,82.5,99.4,0,7.1,6.8,1,93.7,29.5,94,2.3,7.9,8.9,90.4,91.4,
01.511.05.07,015110507,commune,Dar Chaoui,rural,3020,602,5,0,0,3,0.3,96.7,0,2.2,98,0,2,8,6.5,17.8,67.8,82.2,87.5,2,88,0,1,85.7,13.3,0,0.2,99.8,99,0.5,1,6.3,0.3,76.5,28.4,76.1,0,0.3,0.5,49.5,49.1,1.8
01.511.05.07.3,0151105073,urbanCentre,Dar Chaoui,total,1283,308,4.2,1,0,76.3,0,21.4,1.3,1.2,80.8,8.4,10.8,17.5,15.9,36,30.5,97.1,98.7,19.5,97.4,87.7,33.4,64.3,2.3,16.2,1.3,82.5,99.4,0,7.1,6.8,1,93.7,29.5,94,2.3,7.9,8.9,90.4,91.4,
01.511.05.07.3,0151105073,urbanCentre,Dar Chaoui,urban,1283,308,4.2,1,0,76.3,0,21.4,1.3,1.2,80.8,8.4,10.8,17.5,15.9,36,30.5,97.1,98.7,19.5,97.4,87.7,33.4,64.3,2.3,16.2,1.3,82.5,99.4,0,7.1,6.8,1,93.7,29.5,94,2.3,7.9,8.9,90.4,91.4,
01.511.05.01,015110501,commune,Al Manzla,total,2650,568,4.7,0.4,0,12.9,0.4,86.4,0,1.5,93.7,0,6.3,10,10.2,24.1,55.6,94,95.6,3.7,86.8,0.4,2.8,69.9,27.3,0,0.4,99.6,99.6,1.1,0.7,32.4,0.2,80.1,39.9,87.6,1.1,1.8,2.3,63.7,64.5,0.6
01.511.05.01,015110501,commune,Al Manzla,rural,2650,568,4.7,0.4,0,12.9,0.4,86.4,0,1.5,93.7,0,6.3,10,10.2,24.1,55.6,94,95.6,3.7,86.8,0.4,2.8,69.9,27.3,0,0.4,99.6,99.6,1.1,0.7,32.4,0.2,80.1,39.9,87.6,1.1,1.8,2.3,63.7,64.5,0.6
01.511.05.17,015110517,commune,Laaouama,total,8013,1829,4.4,2.6,0,78.5,3,14.2,1.7,1.4,85.8,0.8,13.4,38.1,27.1,24.2,10.7,94.9,96.3,23.8,91.9,0.7,1.1,64.8,34.1,0.4,0,99.6,99.7,1.7,2,1.4,1.2,90.3,34.4,90.9,0.8,4.3,4.2,74.3,84.9,0.3
01.511.05.17,015110517,commune,Laaouama,rural,8013,1829,4.4,2.6,0,78.5,3,14.2,1.7,1.4,85.8,0.8,13.4,38.1,27.1,24.2,10.7,94.9,96.3,23.8,91.9,0.7,1.1,64.8,34.1,0.4,0,99.6,99.7,1.7,2,1.4,1.2,90.3,34.4,90.9,0.8,4.3,4.2,74.3,84.9,0.3
01.511.05.05,015110505,commune,Sebt Azzinate,total,5153,1113,4.6,0.6,0,41.6,0.2,57.3,0.3,1.5,89.5,0.2,10.3,20.7,20.8,29.6,28.9,96.4,93.5,6.2,81.6,2.2,0.1,83,16.9,0,0,100,99.6,1.8,2.8,1.2,0.5,80.8,49.9,87.6,0.3,0.5,2.2,44.1,61.2,2.3
01.511.05.05,015110505,commune,Sebt Azzinate,rural,5153,1113,4.6,0.6,0,41.6,0.2,57.3,0.3,1.5,89.5,0.2,10.3,20.7,20.8,29.6,28.9,96.4,93.5,6.2,81.6,2.2,0.1,83,16.9,0,0,100,99.6,1.8,2.8,1.2,0.5,80.8,49.9,87.6,0.3,0.5,2.2,44.1,61.2,2.3
01.511.03,0151103,cercle,Assilah,total,52163,11238,4.6,1,0,38.4,0.8,58.9,0.9,1.5,90.7,1.4,7.9,18.7,16,31.4,34,93.3,92,20.5,90.5,19.5,3.2,58.4,38.4,1.6,1.6,96.8,99.6,1.5,2.3,18,4,86.2,41.9,87.5,1.4,3.6,4.5,68.3,75,1.3
01.511.03,0151103,cercle,Assilah,urban,2338,541,4.3,1.1,0,82.4,0.6,14.4,1.5,1.2,79.9,10,10.2,14.6,16.8,49.9,18.7,98.2,98.9,29.8,97.8,90.9,54.7,43.6,1.7,9.8,30.5,59.7,99.6,1.1,4.1,4.1,1.1,94.9,44.9,95.5,4.7,15.6,18,90.4,92.3,
01.511.03,0151103,cercle,Assilah,rural,49825,10697,4.7,1,0,36.2,0.9,61.1,0.8,1.6,91.2,1,7.7,18.9,15.9,30.4,34.7,93.1,91.7,20,90.1,15.9,0.6,59.1,40.3,1.2,0.1,98.6,99.6,1.5,2.2,18.7,4.2,85.8,41.8,87.1,1.2,3,3.8,67.2,74.2,1.3
01.511.03.03,015110303,commune,Aquouass Briech,total,4251,983,4.3,1.9,0,52.3,1.9,42.8,1,1.3,91.7,2.9,5.4,20.2,19.4,37.8,22.5,96.8,97.5,41.2,92.7,11,0.1,96.9,3,0.1,0.2,99.7,99.4,2.1,1.9,16.5,1.7,91.8,52.6,92.5,1.8,5.1,8.1,83.1,85,1.3
01.511.03.03,015110303,commune,Aquouass Briech,rural,4251,983,4.3,1.9,0,52.3,1.9,42.8,1,1.3,91.7,2.9,5.4,20.2,19.4,37.8,22.5,96.8,97.5,41.2,92.7,11,0.1,96.9,3,0.1,0.2,99.7,99.4,2.1,1.9,16.5,1.7,91.8,52.6,92.5,1.8,5.1,8.1,83.1,85,1.3
01.511.03.15,015110315,commune,Had Al Gharbia,total,12073,2567,4.7,0.6,0,29,0.2,69.5,0.6,1.5,91.8,2.3,6,13.2,12.5,35.7,38.6,94.1,90.5,29.7,91.9,7,0.5,79.4,20.1,4.7,0.2,95.1,99.8,1.3,1.7,18.9,2.6,86.4,37.6,88.1,1.4,4.3,4.9,68.3,75.4,1.2
01.511.03.15,015110315,commune,Had Al Gharbia,rural,12073,2567,4.7,0.6,0,29,0.2,69.5,0.6,1.5,91.8,2.3,6,13.2,12.5,35.7,38.6,94.1,90.5,29.7,91.9,7,0.5,79.4,20.1,4.7,0.2,95.1,99.8,1.3,1.7,18.9,2.6,86.4,37.6,88.1,1.4,4.3,4.9,68.3,75.4,1.2
01.511.03.11,015110311,commune,Sahel Chamali,total,5358,1166,4.6,1.1,0.3,21.2,0.5,76.2,0.7,1.6,91.4,0.4,8.1,18.5,12.4,27.5,41.5,88.3,87.3,17.8,89.3,15.6,0.4,20.5,79.1,0.3,0.2,99.6,99.7,2.1,2.3,55.2,0.2,85.3,41,84.2,0.8,1.6,2.7,70.1,74.5,1.9
01.511.03.11,015110311,commune,Sahel Chamali,rural,5358,1166,4.6,1.1,0.3,21.2,0.5,76.2,0.7,1.6,91.4,0.4,8.1,18.5,12.4,27.5,41.5,88.3,87.3,17.8,89.3,15.6,0.4,20.5,79.1,0.3,0.2,99.6,99.7,2.1,2.3,55.2,0.2,85.3,41,84.2,0.8,1.6,2.7,70.1,74.5,1.9
01.511.03.13,015110313,commune,Sidi Lyamani,total,10362,2102,4.9,0.3,0,27.9,0.2,70.6,1.1,1.7,91.9,1.3,6.7,12.4,12.7,37.5,37.4,92.9,88.9,15.6,92.6,67.1,9.4,5.2,85.4,0.2,7.7,92.1,99.5,1.4,3.2,21.2,15.9,86.4,51.1,85.7,2.9,5.1,5.8,71.7,76.8,1.7
01.511.03.13,015110313,commune,Sidi Lyamani,urban,1055,233,4.5,1.3,0,90.6,1.3,5.2,1.7,1.2,78.7,12,9.3,10.7,18,68.2,3,99.6,99.1,43.3,98.3,95.3,82.8,16.3,0.9,1.3,69.1,29.6,100,2.6,0,0.4,1.3,96.5,65.2,97.4,7.8,25.7,30,90.4,93.5,
01.511.03.13,015110313,commune,Sidi Lyamani,rural,9307,1869,5,0.2,0,20.1,0.1,78.7,1,1.8,93.5,0.1,6.4,12.6,12,33.7,41.7,92,87.6,12.1,91.9,63.6,0.2,3.9,95.9,0.1,0.1,99.9,99.4,1.3,3.6,23.8,17.8,85.1,49.4,84.3,2.3,2.6,2.9,69.4,74.7,1.7
01.511.03.13.3,0151103133,urbanCentre,Tnine Sidi Lyamani,total,1055,233,4.5,1.3,0,90.6,1.3,5.2,1.7,1.2,78.7,12,9.3,10.7,18,68.2,3,99.6,99.1,43.3,98.3,95.3,82.8,16.3,0.9,1.3,69.1,29.6,100,2.6,0,0.4,1.3,96.5,65.2,97.4,7.8,25.7,30,90.4,93.5,
01.511.03.13.3,0151103133,urbanCentre,Tnine Sidi Lyamani,urban,1055,233,4.5,1.3,0,90.6,1.3,5.2,1.7,1.2,78.7,12,9.3,10.7,18,68.2,3,99.6,99.1,43.3,98.3,95.3,82.8,16.3,0.9,1.3,69.1,29.6,100,2.6,0,0.4,1.3,96.5,65.2,97.4,7.8,25.7,30,90.4,93.5,
01.573,01573,province,M'diq-Fnideq,total,208899,51139,4.1,2.5,11.2,82.7,0.9,1.8,1,1.4,59.6,30.5,9.9,26.1,32.3,36.8,4.8,96.7,99,56.9,95.8,82.8,84.4,13.8,1.7,78.6,14.2,7.2,99.6,5.6,0.8,0.9,0.5,94.5,32.8,96.3,8.5,18.9,21.3,91,88.1,4.4
01.573,01573,province,M'diq-Fnideq,urban,197532,48504,4.1,2.6,11.8,83.1,1,0.6,1,1.4,57.8,32,10.2,26.6,32.8,36.8,3.8,96.6,99,58,96,86.7,88.9,10.3,0.8,82.7,13.7,3.6,99.7,5.4,0.8,0.8,0.5,94.8,32.8,96.8,9,19.5,22.3,91.3,88.2,
01.573,01573,province,M'diq-Fnideq,rural,11367,2635,4.3,1.3,0.1,73.7,0.8,23.9,0.2,1.4,93,3.2,3.8,16.8,23.3,37.6,22.3,98.9,98.9,36.6,92.7,12,1.4,78.7,19.9,4.2,22.2,73.6,99.1,9.6,2,2.9,0.1,90.6,33.1,87.7,0.8,8,4.3,86,85.4,4.4
01.573.01.05,015730105,commune,M'diq,total,56130,13435,4.2,2.4,3.7,91.1,0.6,1.4,0.8,1.5,61.7,26.1,12.1,22.4,35,39.7,2.8,97.6,99.1,52.4,95,91.1,93.8,5.4,0.8,68,28.9,3.1,99.8,6.3,0.8,1.3,0.5,94.1,24.6,96.2,8.4,15.3,19.5,91.9,86.9,
01.573.01.05,015730105,commune,M'diq,urban,56130,13435,4.2,2.4,3.7,91.1,0.6,1.4,0.8,1.5,61.7,26.1,12.1,22.4,35,39.7,2.8,97.6,99.1,52.4,95,91.1,93.8,5.4,0.8,68,28.9,3.1,99.8,6.3,0.8,1.3,0.5,94.1,24.6,96.2,8.4,15.3,19.5,91.9,86.9,
01.573.01.01,015730101,commune,Fnideq,total,77057,18491,4.2,1.9,10,86.2,0.9,0.3,0.7,1.4,53.5,37.2,9.4,25.3,30.1,38.5,6.1,96.3,99,55.4,95.6,89.3,94.8,4.2,1.1,86.5,7.4,6.1,99.7,4.4,0.8,0.7,0.5,94.4,26.6,96.7,6.2,17.2,18.6,91.3,88.1,
01.573.01.01,015730101,commune,Fnideq,urban,77057,18491,4.2,1.9,10,86.2,0.9,0.3,0.7,1.4,53.5,37.2,9.4,25.3,30.1,38.5,6.1,96.3,99,55.4,95.6,89.3,94.8,4.2,1.1,86.5,7.4,6.1,99.7,4.4,0.8,0.7,0.5,94.4,26.6,96.7,6.2,17.2,18.6,91.3,88.1,
01.573.01.03,015730103,commune,Martil,total,64345,16578,3.9,3.4,20.2,73.3,1.4,0.2,1.6,1.2,59.4,31.1,9.5,31.6,33.8,32.4,2.2,96.1,99.1,65.4,97.3,80.2,78.6,21.1,0.4,90.2,8.5,1.3,99.6,5.9,0.7,0.6,0.5,95.7,46.3,97.3,12.5,25.5,28.6,90.7,89.5,
01.573.01.03,015730103,commune,Martil,urban,64345,16578,3.9,3.4,20.2,73.3,1.4,0.2,1.6,1.2,59.4,31.1,9.5,31.6,33.8,32.4,2.2,96.1,99.1,65.4,97.3,80.2,78.6,21.1,0.4,90.2,8.5,1.3,99.6,5.9,0.7,0.6,0.5,95.7,46.3,97.3,12.5,25.5,28.6,90.7,89.5,
01.573.01.07,015730107,commune,Allyene,total,6583,1518,4.3,1.2,0.1,66.5,1.3,30.9,0.1,1.6,96.2,0.8,3,22.5,21.8,31.6,24.1,98.6,98.5,36.8,92.8,20.8,1.4,93,5.6,0.3,0.2,99.5,98.6,4.1,1.3,4.2,0.1,88.9,41,87.9,1,3.3,2.8,81.8,81.8,6.9
01.573.01.07,015730107,commune,Allyene,rural,6583,1518,4.3,1.2,0.1,66.5,1.3,30.9,0.1,1.6,96.2,0.8,3,22.5,21.8,31.6,24.1,98.6,98.5,36.8,92.8,20.8,1.4,93,5.6,0.3,0.2,99.5,98.6,4.1,1.3,4.2,0.1,88.9,41,87.9,1,3.3,2.8,81.8,81.8,6.9
01.573.01.09,015730109,commune,Belyounech,total,4784,1117,4.3,1.4,0,83.5,0.3,14.4,0.4,1.2,88.4,6.6,5,9,25.2,45.8,19.9,99.5,99.6,36.3,92.6,0.2,1.3,59.3,39.4,9.5,52,38.5,99.9,17.2,3,1.3,0,93.1,22.5,87.5,0.5,14.2,6.4,91.9,90.3,1
01.573.01.09,015730109,commune,Belyounech,rural,4784,1117,4.3,1.4,0,83.5,0.3,14.4,0.4,1.2,88.4,6.6,5,9,25.2,45.8,19.9,99.5,99.6,36.3,92.6,0.2,1.3,59.3,39.4,9.5,52,38.5,99.9,17.2,3,1.3,0,93.1,22.5,87.5,0.5,14.2,6.4,91.9,90.3,1
01.571,01571,province,Tétouan,total,547177,126969,4.3,2.2,15.5,68.4,1.2,11.8,0.8,1.4,67.8,22.5,9.6,17.5,22.6,39.3,20.6,95.9,96.4,53,94,75.3,74.6,14.3,11.1,77.3,1,21.7,99.1,6.7,1.2,4.6,0.5,92.4,40.9,92.7,15.1,21.3,25.1,85.8,85.5,3.4
01.571,01571,province,Tétouan,urban,394849,96784,4.1,2.6,20.3,74.4,1.1,0.8,0.8,1.3,60.7,28.9,10.3,16.1,21.9,42.8,19.2,98,99.1,60.1,96.8,92.5,96,3.4,0.7,96.5,1.1,2.3,99.5,8,0.9,0.7,0.5,96.1,43.5,95.5,19.5,27.1,31.9,90.4,92.1,
01.571,01571,province,Tétouan,rural,152328,30185,5,1,0.1,49.2,1.7,47.4,0.5,1.9,90.6,2.1,7.4,22.1,24.6,28.2,25,89.3,88,30.1,85.2,20.1,6.3,49.3,44.4,15.6,0.7,83.8,97.7,2.5,2.3,16.9,0.4,80.5,32.7,83.7,0.9,2.9,3.4,71.2,64.5,3.4
01.571.01.11,015710111,commune,Tétouan,total,377866,92606,4.1,2.7,21.1,74,1.1,0.3,0.8,1.3,60.3,29.3,10.4,15.8,21.8,42.9,19.5,98.1,99.2,61.1,97,93.4,98.2,1.4,0.4,97.9,1.1,1.1,99.6,8.2,0.9,0.6,0.5,96.4,44.1,95.7,20.3,27.6,32.5,90.7,92.4,
01.571.01.11,015710111,commune,Tétouan,urban,377866,92606,4.1,2.7,21.1,74,1.1,0.3,0.8,1.3,60.3,29.3,10.4,15.8,21.8,42.9,19.5,98.1,99.2,61.1,97,93.4,98.2,1.4,0.4,97.9,1.1,1.1,99.6,8.2,0.9,0.6,0.5,96.4,44.1,95.7,20.3,27.6,32.5,90.7,92.4,
01.571.01.07,015710107,commune,Oued Laou,total,9548,2441,3.9,1.6,5.9,80,1.3,9.7,1.6,1.3,69.4,21.1,9.5,20.4,21.7,44.8,13.1,97.3,94.3,38.9,89.1,78.8,48.4,44.1,7.6,64.7,0.2,35.1,95.2,2.6,0.5,3.1,0.1,87.3,40.5,90.9,3.1,16,18.6,86,80,
01.571.01.07,015710107,commune,Oued Laou,urban,9548,2441,3.9,1.6,5.9,80,1.3,9.7,1.6,1.3,69.4,21.1,9.5,20.4,21.7,44.8,13.1,97.3,94.3,38.9,89.1,78.8,48.4,44.1,7.6,64.7,0.2,35.1,95.2,2.6,0.5,3.1,0.1,87.3,40.5,90.9,3.1,16,18.6,86,80,
01.571.03,0157103,cercle,Jebala,total,63434,13286,4.8,0.7,0.1,35.6,1.6,61.5,0.5,1.9,89.9,1.2,8.9,16.9,21.9,29.6,31.6,88.7,87.2,33.3,85.7,7.2,4.1,30.3,65.6,4.3,0.9,94.8,98.4,1.8,3.2,21,0.2,78.5,41.1,80.5,0.8,2.9,3.1,65.4,60.1,3.7
01.571.03,0157103,cercle,Jebala,urban,1091,272,4,0,0,93.4,0.4,5.9,0.4,1.3,51.7,25.7,22.7,12.9,16.6,70.5,0,98.5,99.3,44.6,97.4,96.7,76.8,22.1,1.1,52.4,33.9,13.7,100,0.4,0,0.4,0,93.7,33.8,94.4,0,12.7,17.2,91.8,90,
