code,code_digits,level,name_fr,area,households_municipal_population,households_count,households_average_size,households_sedentary,dwelling_type_villa,dwelling_type_apartment,dwelling_type_moroccan_house,dwelling_type_basic_or_slum,dwelling_type_rural,dwelling_type_other,households_people_per_room,occupancy_owner,occupancy_tenant,occupancy_other,dwelling_age_under_10,dwelling_age_10_19,dwelling_age_20_49,dwelling_age_50_plus,amenities_kitchen,amenities_toilet,amenities_bathroom,amenities_electricity,amenities_running_water,wastewater_public_sewer,wastewater_septic_tank,wastewater_other,household_waste_municipal_bin,household_waste_truck,household_waste_in_the_open,household_waste_other,cooking_fuel_gas,cooking_fuel_electricity,cooking_fuel_charcoal,cooking_fuel_firewood,cooking_fuel_other,households_distance_to_paved_road_km
,,country,Maroc,total,36490591,9275038,3.9,9263270,1.9,16.6,58.8,3,18.4,1.2,1.4,69.4,19.7,10.8,22,28.8,35.9,13.3,96.3,97.3,63.1,97.1,82.9,65.4,17,17.6,56.5,15,26.6,1.9,95.2,0.4,0.2,4,0.2,1.5
,,country,Maroc,urban,22921202,6173930,3.7,6166796,2.7,24.4,68,3.3,0.8,0.9,1.3,61.5,28,10.5,23.8,30.7,38.1,7.4,98.1,99.6,74.5,98.7,97.1,93.4,4.6,2,79,18.4,2,0.7,99.2,0.5,0,0.2,0.1,
,,country,Maroc,rural,13569389,3101108,4.4,3096474,0.5,1.2,40.5,2.6,53.3,1.8,1.7,85.3,3.2,11.5,18.3,25,31.5,25.2,92.9,92.8,40.5,93.8,54.6,9.6,41.8,48.6,11.8,8.2,75.5,4.4,87.1,0.3,0.5,11.8,0.4,1.5
01,01,region,Tanger-Tétouan-Al Hoceima,total,4008655,1048860,3.8,1047295,0.9,16.1,66.3,1,15,0.7,1.5,62.8,25.1,12,22,33.6,34.7,9.7,97.4,98.4,61.4,97.4,75.7,70,15.7,14.3,65.6,6.5,25.7,2.2,97.7,0.4,0.3,1.4,0.1,2.3
01,01,region,Tanger-Tétouan-Al Hoceima,urban,2626188,728766,3.6,727486,1.2,23,73.6,1.1,0.4,0.6,1.4,53,35,12,24.3,36.4,34.4,4.9,98.8,99.7,73.8,98.7,96.8,97,2.2,0.8,89.6,8.4,1.3,0.6,99.4,0.5,0,0,0.1,
01,01,region,Tanger-Tétouan-Al Hoceima,rural,1382467,320094,4.3,319809,0.3,0.3,49.7,0.7,48.1,0.8,1.7,85.3,2.6,12.1,16.6,27.4,35.4,20.6,94.2,95.4,33.2,94.3,27.5,8.4,46.5,45.1,11,2.1,81.1,5.8,94,0.3,1,4.5,0.2,2.3
01.511,01511,province,Tanger-Assilah,total,1487236,418844,3.6,418108,1.4,25.1,70.2,0.7,1.9,0.7,1.4,49.4,40.5,10.1,28.4,34.1,32.7,4.8,98.6,99.7,72.8,98.7,96.8,94.8,3.5,1.6,86.7,9,3.4,0.9,99.3,0.5,0,0.1,0.1,0.8
01.511,01511,province,Tanger-Assilah,urban,1397890,397526,3.5,396797,1.4,26.4,70.6,0.7,0.1,0.7,1.4,47.6,42.3,10,27.7,34.9,33.4,4,98.7,99.8,74.2,99,98.1,98.9,0.8,0.3,89.9,9.3,0.4,0.4,99.3,0.5,0,0,0.1,
01.511,01511,province,Tanger-Assilah,rural,89346,21318,4.2,21311,0.8,0.5,63,0.5,34.2,1,1.8,82.8,6.1,11.1,41.9,18.9,19.6,19.5,97.5,98.6,47.7,93.7,73.2,19.2,55.1,25.7,26.3,3.8,59,10.9,98.1,0.3,0.6,0.9,0.1,0.8
01.511.01.0,001511010,commune,Tanger,total,1272718,362062,3.5,361404,1.5,25.6,71.7,0.4,0.1,0.7,1.4,46.5,43.4,10.1,24.8,35.7,35.5,4,98.7,99.8,73.7,99.4,98.8,99.2,0.5,0.2,90.1,9.2,0.3,0.4,99.3,0.6,0,0,0.1,
