code,code_digits,level,name_fr,area,sex,population_legal,population_municipal,sex_male,sex_female,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_plus,marital_status_population_15_plus,marital_status_single,marital_status_married,marital_status_divorced,marital_status_widowed,marital_status_singulate_mean_age_at_marriage,fertility_total_fertility_rate,fertility_completed_fertility,disability_prevalence,schooling_population_7_to_12,schooling_rate_6_to_11,illiteracy_population_10_plus,illiteracy_rate_10_plus,illiteracy_population_15_plus,illiteracy_rate_15_plus,languages_read_and_written_literate_population_10_plus,languages_read_and_written_arabic,languages_read_and_written_amazigh_tifinagh,languages_read_and_written_english,languages_read_and_written_french,education_none,education_preschool,education_primary,education_lower_secondary,education_upper_secondary,education_higher,local_languages_darija,local_languages_tachelhit,local_languages_tamazight,local_languages_tarifit,local_languages_hassania,labour_population_15_plus,labour_active,labour_inactive,labour_activity_rate,labour_unemployment_rate,labour_employed,employment_status_employer,employment_status_self_employed,employment_status_public_sector,employment_status_private_sector,employment_status_family_worker,employment_status_apprentice,employment_status_cooperative_member,employment_status_other,commute_employed,commute_walking,commute_bike_or_motorcycle,commute_private_car,commute_bus,commute_taxi,commute_employer_transport,commute_train,commute_tram,commute_informal_transport,commute_animal,commute_other,commute_no_travel
,,country,Maroc,total,all,36828330,36490591,49.9,50.1,7.6,9.3,9.6,8.2,7.3,6.8,7.2,7,6.9,6.1,5.6,4.7,4.7,3.4,2.6,3.1,26806449,33.2,58.3,3.3,5.2,28.5,1.97,2.8,4.8,4203904,95.8,30324494,24.8,26806449,27.9,22791105,99.2,1.5,20.5,57.7,31.8,1.7,26.8,17.1,12.3,10.2,91.9,14.2,7.4,3.2,0.8,26806449,11137688,15659338,41.6,21.3,8764717,2.6,24.9,14.3,49.2,1.9,1,2.3,3.8,8760276,35.8,12.3,14.6,6,10,9.5,0.4,0.5,2.5,0.9,0.8,6.8
,,country,Maroc,total,male,,18195488,,,7.9,9.6,10,8.4,7.2,6.7,7,6.9,6.8,6,5.5,4.6,4.6,3.5,2.6,2.8,13191335,39.3,57.9,1.9,0.9,32.4,,,4.7,2170523,95.7,15006248,17.2,13191335,19.3,12432123,99.2,1.5,19.3,56.5,26,1.9,28.7,19.8,13.2,10.4,92.7,14.2,7.4,3.1,0.8,13191335,8847223,4335404,67.1,20.1,7067932,2.8,28.2,12.5,46.9,1.7,1.1,2.7,4.1,7063897,37.4,14.8,13.9,5.4,8.3,8.1,0.3,0.4,2.8,1,0.9,6.8
,,country,Maroc,total,female,,18295103,,,7.4,8.9,9.3,8,7.3,7,7.3,7.1,7,6.2,5.6,4.8,4.8,3.4,2.5,3.4,13615114,27.3,58.7,4.6,9.4,24.6,1.97,2.8,4.8,2033381,95.9,15318246,32.4,13615114,36.2,10358981,99.2,1.5,22,59.1,37.5,1.6,25,14.4,11.4,10.1,91.1,14.2,7.5,3.3,0.8,13615114,2290465,11323934,16.8,25.9,1696785,1.7,11.2,21.7,58.8,2.8,0.4,0.9,2.4,1696379,29.5,1.9,17.6,8.4,17.1,15,0.6,1.3,1.1,0.3,0.8,6.5
,,country,Maroc,urban,all,23110108,22921202,49.3,50.7,7.1,8.7,9,7.8,7.5,7.1,7.5,7.2,7.1,6.3,5.8,5,4.9,3.6,2.6,2.9,17238935,34.3,56.6,3.9,5.2,29,1.77,2.5,4.2,2471182,96.3,19311227,17.3,17238935,19.3,15965714,99.1,1.5,25.2,64.3,24.9,1.8,25,18.2,16,14,96.3,11.7,5.1,3,1.1,17238935,7540040,9691087,43.8,21.2,5938508,3.2,22.5,17.6,49.2,0.8,0.9,2.4,3.3,5938472,32.7,11.1,18.8,6.6,11.7,11.4,0.5,0.8,0.9,0.1,0.8,4.7
,,country,Maroc,urban,male,,11297766,,,7.4,9.1,9.4,8.1,7.3,6.8,7.3,7,7,6.2,5.8,4.9,4.9,3.7,2.7,2.6,8364742,39.9,57,2.3,0.9,32.8,,,4.2,1274674,96.1,9432353,10.8,8364742,12,8415007,99.1,1.5,24.4,64.1,19.7,2,26.6,20.4,17.1,14.2,96.6,11.9,5.1,2.9,1.1,8364742,5573292,2784259,66.7,19.7,4473194,3.6,26.4,16,45.5,0.8,1.1,3,3.6,4473166,34.3,14.2,18.5,5.9,9.5,10.2,0.4,0.6,1,0.2,0.8,4.5
,,country,Maroc,urban,female,,11623436,,,6.7,8.3,8.6,7.6,7.6,7.4,7.7,7.3,7.2,6.5,5.9,5.1,5,3.5,2.5,3.2,8874193,29.1,56.2,5.5,9.2,25.4,1.77,2.5,4.3,1196508,96.5,9878874,23.6,8874193,26.1,7550708,99.1,1.4,26.1,64.6,30.1,1.7,23.4,16.1,14.9,13.8,95.9,11.5,5.2,3.1,1.1,8874193,1966748,6906828,22.2,25.5,1465314,1.9,10.5,22.6,60.4,0.9,0.4,0.9,2.4,1465306,28,1.8,19.5,8.7,18.3,14.9,0.6,1.5,0.8,0.1,0.8,5.1
,,country,Maroc,rural,all,13718222,13569389,50.8,49.2,8.6,10.3,10.7,8.7,6.9,6.3,6.7,6.7,6.6,5.9,5.1,4.2,4.2,3.2,2.6,3.4,9567514,31.1,61.4,2.2,5.3,27.5,2.37,3.4,5.6,1732722,95.1,11013267,38,9567514,43.4,6825390,99.3,1.6,9.6,42.1,43.3,1.6,30,15.2,6.1,3.9,84.5,18.5,11.3,3.5,0.3,9567514,3597648,5968251,37.6,21.4,2826209,1.5,29.9,7.3,49.3,4.3,1,2,4.7,2821804,42.4,14.8,5.9,4.6,6.4,5.5,0.1,0,5.7,2.4,1,11.1
,,country,Maroc,rural,male,,6897722,,,8.7,10.5,10.8,8.8,7,6.4,6.6,6.6,6.5,5.9,5.1,4.1,4.1,3.2,2.5,3.1,4826593,38.3,59.4,1.4,0.9,31.8,,,5.6,895849,95.2,5573895,27.9,4826593,31.9,4017117,99.4,1.6,8.6,40.7,36.3,1.7,32.3,18.8,6.8,4.1,86.3,18,11.2,3.3,0.3,4826593,3273931,1551145,67.9,20.7,2594739,1.5,31.1,6.6,49.3,3.3,1.1,2.1,4.9,2590732,42.7,15.9,5.9,4.5,6.1,4.6,0.1,0,6,2.4,1,10.8
,,country,Maroc,rural,female,,6671667,,,8.4,10.1,10.5,8.6,6.8,6.3,6.7,6.8,6.6,5.9,5.2,4.3,4.4,3.2,2.6,3.7,4740921,23.8,63.4,3.1,9.8,23,2.37,3.4,5.6,836873,95.1,5439372,48.4,4740921,55.1,2808274,99.3,1.7,11,44.2,50.5,1.4,27.7,11.4,5.3,3.7,82.7,19,11.5,3.6,0.3,4740921,323717,4417106,6.8,28.5,231470,0.8,15.8,15.9,48.8,14.8,0.5,1,2.4,231072,39.2,2.7,5.7,6.4,9.6,15.9,0.1,0.1,3.2,1.5,0.7,15
01,01,region,Tanger-Tétouan-Al Hoceima,total,all,4030222,4008655,50.8,49.2,8.2,9.6,9.4,7.9,7.7,7.7,8.2,7.8,7,5.7,5,4.1,4.2,2.9,2.1,2.6,2920687,35.7,57.1,2.7,4.4,29,2.01,2.9,4.9,463989,95.9,3297227,22.8,2920687,25.6,2545283,99.5,0.8,16.5,47.9,33.8,1.4,27.3,17.5,10.6,9.4,96.4,1.5,1,7.8,0.1,2920687,1349130,1569806,46.2,19.6,1084743,2.4,26.8,10.5,50.6,4.1,0.7,2.2,2.7,1084739,42.6,3.4,10.3,5.5,9.4,18.3,0.1,0,2.2,1.3,0.5,6.4
